GPU Util%,GPU Memory
23,2648
16,7619
11,7757
11,7861
32,7853
33,7853
33,7853
32,7853
42,7853
32,7853
32,7853
28,7854
33,7854
31,7854
24,7862
24,7854
24,7861
23,7853
25,7853
27,7853
23,7853
30,7853
29,7861
29,7853
30,7853
34,7853
26,7861
31,7853
25,7853
25,7853
24,7853
26,7861
22,7861
26,7853
26,7853
26,7853
29,7862
33,7854
24,7862
30,7854
32,7853
33,7853
33,7853
33,7861
26,7861
24,7853
25,7853
25,7861
26,7853
27,7853
26,7853
27,7853
29,7853
30,7853
31,7853
30,7853
35,7853
33,7853
32,7853
34,7853
36,7853
24,7854
8,7874
7,7874
7,7874
7,7873
