GPU Util%,GPU Memory
0,554
1,554
1,554
1,554
0,554
0,554
0,554
8,687
5,759
4,779
2,7619
3,7673
5,7753
5,7801
29,7859
83,7859
80,7859
79,7859
79,7859
80,7859
80,7859
80,7859
80,7859
80,7859
79,7859
80,7859
79,7859
79,7859
80,7859
80,7859
81,7859
81,7859
80,7859
81,7859
79,7859
80,7859
79,7859
80,7859
79,7859
80,7859
79,7859
80,7859
80,7859
80,7859
77,7859
80,7859
79,7859
81,7859
80,7859
79,7859
80,7859
79,7859
81,7859
80,7859
80,7859
78,7859
80,7859
78,7859
79,7859
79,7859
79,7859
79,7859
79,7863
80,7863
81,7863
79,7863
79,7863
79,7863
78,7863
79,7863
79,7863
79,7863
80,7863
80,7863
79,7863
79,7863
78,7863
79,7863
79,7862
79,7862
79,7862
78,7862
79,7862
79,7862
78,7862
78,7862
79,7862
79,7862
79,7862
78,7859
79,7859
79,7859
79,7859
78,7859
78,7859
79,7859
80,7859
78,7859
77,7859
79,7859
79,7859
79,7859
79,7859
77,7859
78,7859
79,7859
78,7859
78,7859
78,7859
78,7859
77,7859
78,7859
78,7859
79,7859
79,7859
78,7859
80,7859
79,7859
78,7859
78,7859
78,7859
77,7859
77,7859
77,7859
78,7859
78,7859
78,7859
79,7859
79,7859
78,7859
79,7859
77,7859
78,7859
78,7859
77,7859
78,7859
77,7859
78,7859
80,7859
78,7859
78,7859
77,7859
78,7859
78,7859
76,7859
78,7859
78,7859
78,7859
78,7859
79,7859
78,7859
77,7859
77,7859
78,7859
77,7859
78,7859
78,7859
78,7859
78,7859
79,7859
78,7859
78,7859
76,7859
78,7859
78,7859
77,7859
77,7859
77,7859
78,7859
77,7859
78,7859
77,7859
77,7859
76,7859
77,7859
78,7859
76,7859
77,7859
77,7859
77,7859
77,7859
77,7859
77,7859
76,7859
75,7859
77,7859
77,7859
77,7859
77,7859
77,7859
76,7859
77,7859
76,7859
77,7859
77,7859
77,7859
77,7859
77,7859
77,7859
78,7859
77,7859
77,7859
76,7859
77,7859
76,7859
79,7859
77,7859
77,7859
76,7859
77,7859
76,7859
76,7859
77,7859
79,7859
77,7859
75,7859
77,7859
76,7859
77,7859
76,7859
76,7859
76,7859
77,7859
76,7859
76,7859
75,7859
76,7859
77,7859
76,7859
76,7859
75,7859
76,7859
76,7859
76,7859
75,7859
76,7859
76,7859
78,7859
77,7859
77,7859
77,7859
77,7859
75,7859
75,7859
76,7859
75,7859
75,7859
76,7859
77,7859
78,7859
76,7859
76,7859
76,7859
76,7859
76,7859
77,7859
75,7859
76,7859
74,7859
76,7859
76,7859
77,7859
75,7859
75,7859
76,7859
75,7859
75,7859
75,7859
75,7859
76,7859
76,7859
75,7859
76,7859
76,7859
76,7859
75,7859
76,7859
76,7859
75,7859
77,7859
75,7859
75,7859
74,7859
74,7859
76,7859
75,7859
75,7859
77,7859
76,7859
77,7859
76,7859
76,7859
77,7859
75,7859
75,7859
75,7859
75,7859
76,7859
75,7859
76,7859
75,7859
75,7859
77,7859
77,7859
75,7859
74,7859
76,7859
70,7859
75,7851
76,7851
72,7851
75,7851
75,7851
71,7851
74,7851
74,7851
75,7851
78,7851
76,7851
74,7851
74,7851
75,7851
76,7851
75,7851
75,7851
76,7851
75,7851
76,7851
75,7851
73,7851
74,7851
75,7851
74,7851
74,7851
75,7851
75,7851
75,7851
75,7851
73,7851
75,7851
76,7851
74,7851
73,7851
74,7851
75,7851
75,7851
76,7851
75,7851
75,7851
74,7851
74,7851
73,7851
75,7851
75,7851
74,7851
73,7851
76,7851
75,7851
74,7851
75,7851
74,7851
75,7851
76,7851
75,7851
74,7851
74,7851
74,7851
73,7851
75,7851
73,7851
74,7851
75,7851
75,7851
75,7851
75,7851
74,7851
75,7851
73,7851
77,7851
76,7851
74,7851
74,7851
76,7851
76,7851
74,7851
73,7851
72,7851
73,7851
75,7851
73,7851
73,7851
72,7851
72,7851
75,7851
74,7851
74,7851
74,7851
73,7851
74,7851
71,7851
74,7851
75,7851
72,7851
77,7851
74,7851
73,7851
71,7851
72,7851
73,7851
74,7851
73,7851
73,7851
74,7851
74,7851
73,7851
74,7851
76,7851
74,7851
73,7851
73,7851
72,7851
74,7851
72,7851
73,7851
74,7851
73,7851
73,7851
74,7851
73,7851
73,7851
73,7851
72,7851
74,7851
74,7851
74,7851
73,7851
74,7851
74,7851
72,7851
72,7851
72,7851
72,7851
74,7851
73,7851
73,7851
73,7851
73,7851
74,7851
73,7851
73,7851
73,7851
74,7851
73,7851
73,7851
72,7851
71,7851
72,7851
73,7851
75,7851
73,7851
72,7851
72,7851
73,7851
73,7851
72,7851
71,7851
73,7851
74,7851
73,7851
72,7851
71,7851
72,7851
74,7851
74,7851
73,7851
72,7851
73,7851
72,7851
71,7851
72,7851
73,7851
72,7851
72,7851
71,7851
73,7851
71,7851
73,7851
72,7851
73,7851
71,7851
73,7851
74,7851
72,7851
71,7851
73,7851
74,7851
72,7851
72,7851
73,7851
71,7851
73,7851
72,7851
72,7851
72,7851
72,7851
73,7851
72,7851
72,7851
73,7851
72,7851
71,7851
72,7851
73,7851
72,7851
72,7851
72,7851
72,7851
72,7851
72,7851
72,7851
73,7851
73,7851
71,7851
71,7851
73,7851
71,7851
75,7851
70,7851
73,7851
73,7851
71,7851
72,7851
72,7851
70,7851
73,7851
74,7851
71,7851
72,7851
71,7851
70,7851
71,7851
74,7851
72,7851
72,7851
71,7851
71,7851
69,7851
73,7851
71,7851
72,7851
71,7851
74,7851
72,7851
72,7851
71,7851
69,7851
72,7851
73,7851
72,7851
71,7851
71,7851
73,7851
72,7851
71,7851
71,7851
71,7851
73,7851
72,7851
70,7851
70,7851
71,7851
73,7851
69,7851
73,7851
72,7851
71,7851
71,7851
72,7851
71,7851
74,7851
69,7851
72,7851
75,7851
72,7851
75,7851
73,7851
72,7851
72,7851
69,7851
47,7851
39,7851
74,7851
74,7842
74,7842
71,7842
71,7842
72,7842
69,7842
71,7842
72,7842
71,7842
72,7842
71,7842
71,7842
71,7842
72,7842
70,7842
71,7842
72,7842
71,7842
73,7842
71,7842
71,7842
72,7842
70,7842
68,7842
71,7842
72,7842
72,7842
69,7842
71,7842
72,7842
68,7842
73,7842
70,7842
72,7842
70,7842
69,7842
72,7842
70,7842
71,7842
72,7842
69,7842
67,7842
70,7842
73,7842
72,7842
59,7842
69,7842
72,7842
70,7842
72,7842
69,7842
72,7842
72,7842
69,7842
70,7842
70,7842
70,7842
71,7842
71,7842
72,7842
70,7842
70,7842
71,7842
69,7842
70,7842
70,7842
72,7842
69,7842
71,7842
70,7842
69,7842
71,7842
71,7842
69,7842
70,7842
72,7842
68,7842
69,7842
70,7842
71,7842
68,7842
72,7842
67,7842
71,7842
68,7842
71,7842
71,7842
69,7842
69,7842
70,7842
69,7842
71,7842
71,7842
68,7842
71,7842
69,7842
68,7842
70,7842
69,7842
71,7842
68,7842
70,7842
70,7842
68,7842
71,7842
70,7842
71,7842
68,7842
70,7842
67,7842
69,7842
69,7842
68,7842
71,7842
70,7842
71,7842
72,7842
68,7842
63,7842
71,7842
71,7842
70,7842
68,7842
70,7842
69,7842
72,7842
70,7842
69,7842
68,7842
71,7842
68,7842
71,7842
69,7842
70,7842
69,7842
68,7842
69,7842
74,7842
69,7842
70,7842
68,7842
70,7842
68,7842
70,7842
68,7842
70,7842
70,7842
71,7842
68,7842
70,7842
67,7842
70,7842
67,7842
68,7842
71,7842
69,7842
70,7842
71,7842
72,7842
71,7842
67,7842
67,7842
68,7842
70,7842
68,7842
70,7842
68,7842
70,7842
66,7842
70,7842
70,7842
68,7842
70,7842
69,7842
71,7842
69,7842
69,7842
68,7842
68,7842
68,7842
68,7842
69,7842
68,7842
70,7842
67,7842
71,7842
70,7842
68,7842
69,7842
68,7842
69,7842
69,7842
70,7842
68,7842
69,7842
72,7842
68,7842
71,7842
67,7842
70,7842
67,7842
70,7842
70,7842
67,7842
69,7842
68,7842
70,7842
69,7842
71,7842
67,7842
69,7842
69,7842
67,7842
70,7842
69,7842
70,7842
67,7842
69,7844
68,7844
67,7844
72,7844
69,7844
68,7844
66,7844
70,7844
69,7844
70,7844
69,7844
68,7844
70,7844
68,7844
68,7844
69,7844
70,7844
68,7844
68,7844
67,7844
69,7844
67,7843
67,7843
68,7843
67,7843
69,7843
70,7843
66,7843
70,7843
66,7843
67,7843
70,7843
65,7843
69,7843
68,7843
69,7842
68,7842
71,7842
67,7842
68,7842
67,7842
67,7842
64,7842
68,7842
69,7842
64,7842
69,7842
68,7842
70,7842
67,7842
67,7842
65,7842
68,7842
67,7842
67,7842
67,7842
69,7842
69,7842
64,7842
68,7842
67,7842
66,7842
68,7842
67,7842
66,7842
68,7842
64,7842
68,7842
68,7842
67,7842
69,7842
67,7842
68,7842
68,7842
69,7842
68,7842
65,7842
67,7842
69,7842
66,7842
68,7842
67,7842
65,7842
68,7842
68,7842
64,7842
69,7842
69,7842
65,7842
68,7842
69,7842
68,7842
66,7842
68,7842
68,7842
65,7842
69,7842
67,7842
67,7842
67,7842
68,7842
69,7842
67,7842
69,7842
66,7842
66,7842
70,7842
67,7842
69,7842
66,7842
69,7842
66,7842
67,7842
67,7842
65,7842
68,7842
67,7842
67,7842
68,7842
65,7842
69,7842
66,7842
66,7842
66,7842
66,7842
69,7842
66,7842
67,7842
68,7842
67,7842
67,7842
66,7842
66,7842
67,7842
67,7842
65,7842
67,7842
68,7842
64,7842
69,7842
65,7842
69,7842
67,7842
69,7842
66,7842
66,7842
68,7842
66,7842
66,7842
67,7842
67,7842
65,7842
67,7842
67,7842
65,7842
68,7842
69,7842
65,7842
68,7842
68,7842
64,7842
67,7842
66,7842
66,7842
2,7842
2,7660
25,537
