GPU Util%,GPU Memory
0,475
0,475
1,475
1,475
1,475
1,475
1,475
1,608
8,684
5,700
2,7618
3,7630
5,7706
5,7758
7,7832
15,7858
86,7858
85,7858
84,7858
85,7858
85,7858
86,7858
85,7858
84,7858
85,7858
85,7858
85,7858
85,7858
85,7858
85,7858
84,7858
85,7858
85,7858
86,7858
85,7858
87,7858
85,7858
84,7858
85,7858
84,7858
84,7858
84,7858
86,7858
87,7858
85,7858
85,7858
84,7858
84,7858
84,7858
85,7858
85,7858
84,7858
84,7858
87,7858
85,7858
86,7858
85,7858
84,7858
86,7858
84,7858
84,7858
84,7858
84,7858
85,7858
85,7858
85,7858
85,7858
84,7858
84,7858
84,7858
84,7858
84,7858
85,7858
85,7858
87,7858
87,7858
85,7858
84,7858
85,7858
85,7858
85,7858
84,7858
84,7858
84,7858
84,7858
86,7858
87,7858
86,7858
83,7858
84,7858
84,7858
85,7858
84,7858
84,7858
85,7858
86,7858
84,7858
83,7858
84,7858
84,7858
84,7858
86,7858
85,7858
85,7858
84,7858
85,7858
85,7858
85,7858
85,7858
83,7858
84,7858
88,7858
84,7858
84,7858
84,7858
83,7858
84,7858
85,7858
84,7858
85,7858
85,7858
84,7858
85,7858
84,7858
84,7858
85,7858
85,7858
83,7858
84,7858
84,7858
83,7858
84,7858
84,7858
87,7858
86,7858
84,7858
84,7858
85,7858
83,7858
84,7858
85,7858
84,7858
85,7858
84,7858
84,7858
84,7858
83,7858
84,7858
85,7858
85,7858
85,7858
84,7858
85,7858
84,7858
84,7858
84,7858
84,7858
84,7858
84,7858
87,7858
84,7858
85,7858
83,7858
84,7858
83,7858
83,7858
84,7858
84,7858
83,7858
83,7858
85,7858
86,7858
85,7858
83,7858
85,7858
84,7858
83,7858
82,7858
84,7858
83,7858
84,7858
86,7858
85,7858
84,7858
82,7858
84,7858
85,7858
83,7858
82,7858
83,7858
84,7858
85,7858
83,7858
84,7858
83,7858
83,7858
83,7858
84,7858
84,7858
83,7858
83,7858
83,7858
85,7858
83,7858
83,7858
84,7858
85,7858
85,7858
84,7858
83,7858
83,7858
84,7858
84,7858
83,7858
86,7858
85,7858
84,7858
84,7858
84,7858
82,7858
82,7858
84,7858
82,7858
85,7858
84,7858
85,7858
88,7858
84,7858
83,7858
84,7858
83,7858
83,7858
84,7858
84,7858
85,7858
84,7858
83,7858
83,7858
83,7858
83,7858
83,7858
82,7858
84,7858
84,7858
85,7858
83,7858
85,7858
83,7858
83,7858
83,7858
85,7858
83,7858
83,7858
82,7858
84,7858
83,7858
84,7858
82,7858
83,7858
85,7858
85,7858
83,7858
83,7858
84,7858
82,7858
86,7858
83,7858
82,7858
83,7858
84,7858
84,7858
82,7858
83,7858
83,7858
82,7858
85,7858
85,7858
84,7858
82,7858
82,7858
83,7858
84,7858
84,7858
83,7858
81,7858
83,7858
85,7858
83,7858
83,7858
83,7858
82,7858
84,7858
83,7858
82,7858
82,7858
83,7858
82,7858
83,7858
84,7858
81,7858
82,7858
82,7858
83,7858
83,7858
83,7858
82,7858
83,7858
83,7858
83,7858
83,7858
84,7858
82,7858
83,7858
81,7858
82,7858
83,7858
82,7858
82,7858
83,7858
84,7858
83,7858
82,7858
82,7858
82,7858
81,7858
82,7858
83,7858
83,7858
82,7858
84,7858
84,7858
84,7858
82,7858
82,7858
82,7858
82,7858
83,7858
83,7858
83,7858
84,7858
83,7858
82,7858
82,7858
84,7858
82,7858
81,7858
83,7858
81,7858
82,7858
85,7858
84,7858
82,7858
81,7858
83,7858
83,7858
87,7858
83,7858
82,7858
82,7858
82,7858
81,7858
82,7858
82,7858
81,7858
83,7858
82,7858
83,7858
81,7858
82,7858
80,7858
85,7858
80,7858
82,7858
82,7858
83,7858
81,7858
85,7858
82,7858
83,7858
80,7858
82,7858
83,7858
81,7858
83,7858
83,7858
2,7858
2,7858
3,7642
57,475
