GPU Util%,GPU Memory
0,426
5,426
1,426
0,426
0,426
2,426
0,426
4,573
6,651
2,651
0,651
0,651
2,651
0,651
0,651
0,651
2,651
0,651
0,651
1,651
0,651
0,7619
4,7619
2,7619
0,7619
0,7619
3,7657
5,7743
5,7759
76,7823
100,7833
96,7833
97,7833
94,7833
95,7833
91,7859
91,7859
91,7859
92,7859
93,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
97,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
99,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
