GPU Util%,GPU Memory
0,426
5,434
0,426
0,426
0,426
1,426
1,426
3,565
6,645
2,651
0,651
0,651
0,651
0,651
0,651
1,651
1,7619
2,7619
1,7619
0,7629
5,7707
5,7759
52,7787
31,7833
97,7833
97,7833
94,7833
94,7833
95,7859
57,7859
91,7859
91,7859
93,7859
97,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
97,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
97,7859
99,7859
99,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
99,7859
98,7859
97,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
97,7859
99,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
97,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
97,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
97,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
99,7859
98,7859
99,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
98,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
99,7859
98,7859
99,7859
99,7859
98,7859
98,7859
98,7859
99,7859
99,7859
98,7859
98,7859
