GPU Util%,GPU Memory
2,426
3,434
1,426
0,426
2,426
0,426
0,426
5,579
5,651
2,7619
0,7649
4,7729
5,7781
8,7859
56,7859
77,7859
76,7859
78,7859
77,7859
76,7859
78,7859
78,7859
77,7859
77,7859
77,7859
77,7859
78,7859
78,7859
77,7859
76,7859
76,7859
76,7859
77,7859
76,7859
76,7859
77,7859
76,7859
77,7859
77,7859
75,7859
75,7859
76,7859
76,7859
76,7859
76,7859
76,7859
77,7859
76,7859
76,7859
76,7859
75,7859
75,7859
75,7859
76,7859
76,7859
75,7859
74,7859
76,7859
75,7859
77,7859
77,7859
75,7859
76,7859
75,7859
76,7859
75,7859
74,7859
75,7859
75,7859
75,7859
75,7859
75,7859
75,7859
76,7859
76,7859
75,7859
75,7859
76,7859
75,7859
76,7859
75,7859
75,7859
75,7859
76,7859
75,7859
76,7859
74,7859
75,7859
75,7859
75,7859
74,7859
75,7859
75,7859
75,7859
75,7859
75,7859
74,7859
75,7859
75,7859
74,7859
73,7859
74,7859
74,7859
74,7859
74,7859
75,7859
74,7859
74,7859
75,7859
74,7859
74,7859
74,7859
74,7859
75,7859
75,7859
73,7859
74,7859
73,7859
75,7859
74,7859
74,7859
74,7859
74,7859
74,7859
73,7859
73,7859
74,7859
73,7859
72,7859
73,7859
74,7859
74,7859
73,7859
75,7859
73,7859
75,7859
73,7859
73,7859
73,7859
73,7859
75,7859
73,7859
73,7859
75,7859
73,7859
73,7859
74,7859
73,7859
73,7859
74,7859
73,7859
73,7859
73,7859
73,7859
72,7859
73,7859
73,7859
72,7859
73,7859
73,7859
72,7859
72,7859
73,7859
73,7859
73,7859
72,7859
73,7859
72,7859
73,7859
72,7859
73,7859
73,7859
73,7859
72,7859
73,7859
73,7859
73,7859
72,7859
72,7859
72,7859
72,7859
73,7859
72,7859
72,7859
73,7859
73,7859
73,7859
72,7859
73,7859
73,7859
71,7859
73,7859
73,7859
71,7859
72,7859
71,7859
72,7859
72,7859
70,7859
72,7859
72,7859
71,7859
74,7859
70,7859
71,7859
72,7859
73,7859
72,7859
72,7859
73,7859
72,7859
72,7859
71,7859
72,7859
72,7859
72,7859
73,7859
75,7859
71,7859
72,7859
71,7859
71,7859
72,7859
71,7859
71,7859
72,7859
72,7859
71,7859
71,7859
71,7859
71,7859
71,7859
71,7859
71,7859
71,7859
72,7859
71,7859
70,7859
71,7859
70,7859
72,7859
70,7859
71,7859
71,7859
72,7859
70,7859
72,7859
71,7859
71,7859
69,7859
70,7859
71,7859
71,7859
70,7859
71,7859
70,7859
70,7859
71,7859
70,7859
69,7859
71,7859
70,7859
69,7859
70,7859
71,7859
71,7859
70,7859
69,7859
71,7859
70,7859
69,7859
70,7859
71,7859
69,7859
71,7859
71,7859
70,7859
70,7859
70,7859
70,7859
69,7859
70,7859
71,7859
71,7859
69,7859
70,7859
71,7859
70,7859
70,7859
70,7859
68,7859
70,7859
71,7859
70,7859
68,7859
70,7859
70,7859
70,7859
71,7859
71,7859
69,7859
70,7859
69,7859
70,7859
69,7859
68,7859
69,7859
68,7859
70,7859
70,7859
68,7859
69,7859
68,7859
71,7859
69,7859
69,7859
69,7859
70,7859
69,7859
69,7859
69,7859
70,7859
69,7859
69,7859
69,7859
67,7859
70,7859
69,7859
69,7859
69,7859
70,7859
68,7859
69,7859
69,7859
70,7859
69,7859
70,7859
68,7859
69,7859
69,7859
66,7859
69,7859
69,7859
68,7859
68,7859
68,7859
68,7859
71,7859
69,7859
68,7859
70,7859
69,7859
68,7859
68,7859
68,7859
69,7859
69,7859
67,7859
70,7859
66,7859
68,7859
67,7859
68,7859
67,7859
67,7859
68,7859
69,7859
69,7859
68,7859
68,7859
68,7859
68,7859
69,7859
68,7859
69,7859
68,7859
69,7859
67,7859
69,7859
67,7859
69,7859
67,7859
68,7859
68,7859
68,7859
68,7859
67,7859
66,7859
68,7859
66,7859
69,7859
68,7859
67,7859
69,7859
67,7859
68,7859
69,7859
67,7859
68,7859
68,7859
68,7859
68,7859
68,7859
68,7859
67,7859
70,7859
68,7859
67,7859
69,7859
67,7859
68,7859
65,7859
67,7859
67,7859
68,7859
65,7859
67,7859
66,7859
67,7859
66,7859
68,7859
67,7859
67,7859
67,7859
68,7859
66,7859
68,7859
66,7859
68,7859
67,7859
67,7859
68,7859
69,7859
66,7859
66,7859
66,7859
67,7859
67,7859
66,7859
66,7859
67,7859
68,7859
67,7859
67,7859
67,7859
65,7859
68,7859
66,7859
68,7859
66,7859
67,7859
67,7859
67,7859
65,7859
65,7859
67,7859
65,7859
66,7859
67,7859
65,7859
66,7859
67,7859
65,7859
66,7859
66,7859
66,7859
67,7859
66,7859
66,7859
66,7859
66,7859
66,7859
64,7859
67,7859
65,7859
