GPU Util%,GPU Memory
0,426
5,426
0,426
0,426
0,426
0,426
0,426
2,573
5,651
4,651
0,7619
4,7677
5,7759
6,7817
9,7859
79,7859
80,7859
81,7859
80,7859
81,7859
80,7859
81,7859
81,7859
81,7859
81,7859
79,7859
81,7859
81,7859
80,7859
81,7859
80,7859
80,7859
81,7859
80,7859
79,7859
79,7859
80,7859
80,7859
80,7859
80,7859
80,7859
80,7859
80,7859
81,7859
80,7859
80,7859
79,7859
80,7859
80,7859
80,7859
80,7859
80,7859
80,7859
80,7859
81,7859
79,7859
79,7859
79,7859
80,7859
80,7859
79,7859
78,7859
79,7859
80,7859
80,7859
79,7859
79,7859
79,7859
80,7859
78,7859
79,7859
80,7859
80,7859
80,7859
80,7859
80,7859
80,7859
79,7859
79,7859
79,7859
78,7859
81,7859
80,7859
79,7859
79,7859
80,7859
79,7859
79,7859
79,7859
78,7859
79,7859
79,7859
80,7859
78,7859
79,7859
79,7859
79,7859
79,7859
79,7859
79,7859
78,7859
78,7859
80,7859
79,7859
79,7859
79,7859
79,7859
80,7859
79,7859
80,7859
79,7859
79,7859
79,7859
79,7859
78,7859
79,7859
79,7859
78,7859
79,7859
78,7859
79,7859
77,7859
79,7859
79,7859
78,7859
79,7859
78,7859
79,7859
78,7859
78,7859
79,7859
79,7859
78,7859
78,7859
78,7859
79,7859
79,7859
79,7859
77,7859
79,7859
79,7859
77,7859
78,7859
79,7859
78,7859
78,7859
77,7859
77,7859
78,7859
78,7859
78,7859
78,7859
77,7859
77,7859
79,7859
79,7859
77,7859
78,7859
78,7859
77,7859
76,7859
78,7859
79,7859
78,7859
78,7859
78,7859
77,7859
78,7859
79,7859
77,7859
77,7859
78,7859
77,7859
78,7859
78,7859
77,7859
77,7859
77,7859
79,7859
77,7859
77,7859
77,7859
77,7859
78,7859
77,7859
78,7859
77,7859
77,7859
78,7859
78,7859
77,7859
77,7859
77,7859
77,7859
76,7859
78,7859
77,7859
76,7859
78,7859
78,7859
77,7859
77,7859
77,7859
78,7859
78,7859
76,7859
79,7859
78,7859
77,7859
77,7859
77,7859
76,7859
77,7859
78,7859
76,7859
77,7859
78,7859
77,7859
77,7859
76,7859
77,7859
77,7859
77,7859
76,7859
78,7859
77,7859
76,7859
77,7859
78,7859
78,7859
75,7859
77,7859
76,7859
76,7859
77,7859
76,7859
77,7859
76,7859
77,7859
76,7859
76,7859
78,7859
75,7859
77,7859
76,7859
76,7859
77,7859
76,7859
76,7859
77,7859
76,7859
76,7859
77,7859
76,7859
76,7859
76,7859
76,7859
76,7859
76,7859
76,7859
76,7859
76,7859
76,7859
76,7859
75,7859
77,7859
76,7859
75,7859
77,7859
76,7859
76,7859
76,7859
77,7859
74,7859
76,7859
76,7859
76,7859
75,7859
76,7859
77,7859
75,7859
75,7859
76,7859
8,7859
1,7643
3,426
