GPU Util%,GPU Memory
0,445
5,445
1,445
1,445
1,445
1,445
0,445
5,570
5,642
4,670
1,670
1,670
1,670
1,670
1,670
1,670
1,7618
2,7618
1,7618
3,7664
5,7748
5,7792
7,7858
42,7858
75,7858
72,7858
73,7858
72,7858
72,7858
72,7858
72,7858
72,7858
74,7858
73,7858
72,7858
73,7858
72,7858
73,7858
73,7858
73,7858
72,7858
72,7858
72,7858
73,7858
73,7858
73,7858
72,7858
73,7858
72,7858
72,7858
73,7858
73,7858
72,7858
73,7858
73,7858
73,7858
73,7858
71,7858
73,7858
73,7858
73,7858
72,7858
73,7858
73,7858
73,7858
72,7858
72,7858
73,7858
72,7858
74,7858
73,7858
73,7858
73,7858
73,7858
72,7858
73,7858
73,7858
73,7858
74,7858
72,7858
71,7858
72,7858
73,7858
72,7858
73,7858
73,7858
72,7858
73,7858
72,7858
73,7858
73,7858
73,7858
74,7858
74,7858
71,7858
73,7858
74,7858
73,7858
72,7858
72,7858
71,7858
73,7858
73,7858
73,7858
73,7858
73,7858
74,7858
71,7858
73,7858
74,7858
72,7858
74,7858
72,7858
72,7858
72,7858
72,7858
73,7858
72,7858
73,7858
73,7858
72,7858
72,7858
73,7858
73,7858
72,7858
73,7858
73,7858
75,7858
73,7858
73,7858
72,7858
71,7858
72,7858
72,7858
73,7858
72,7858
70,7858
69,7858
72,7858
72,7858
72,7858
73,7858
70,7858
72,7858
71,7858
68,7858
74,7858
74,7858
73,7858
72,7858
71,7858
72,7858
68,7858
70,7858
74,7858
73,7858
73,7858
74,7858
74,7858
71,7858
72,7858
71,7858
74,7858
73,7858
69,7858
71,7858
70,7858
72,7858
69,7858
68,7858
65,7858
67,7858
33,7858
66,7858
71,7858
71,7858
72,7858
69,7858
68,7858
66,7858
72,7858
72,7858
67,7858
70,7858
72,7858
73,7858
65,7858
68,7858
65,7858
65,7858
69,7858
72,7858
70,7858
70,7858
73,7858
67,7858
68,7858
72,7858
73,7858
65,7858
67,7858
72,7858
68,7858
70,7858
72,7858
72,7858
72,7858
64,7858
63,7858
68,7858
71,7858
73,7858
71,7858
64,7858
70,7858
72,7858
72,7858
64,7858
61,7858
70,7858
72,7858
73,7858
71,7858
63,7858
65,7858
63,7858
62,7858
60,7858
61,7858
61,7858
61,7858
60,7858
60,7858
61,7858
59,7858
60,7858
61,7858
60,7858
61,7858
58,7858
60,7858
60,7858
61,7858
61,7858
61,7858
61,7858
59,7858
55,7858
46,7858
46,7858
46,7858
46,7858
48,7858
55,7858
55,7858
54,7858
55,7858
55,7858
59,7858
62,7858
60,7858
60,7858
59,7858
62,7858
67,7858
66,7858
65,7858
68,7858
62,7858
60,7858
61,7858
58,7858
60,7858
61,7858
63,7858
68,7858
68,7858
67,7858
68,7858
64,7858
60,7858
60,7858
60,7858
62,7858
59,7858
61,7858
62,7858
59,7858
60,7858
61,7858
64,7858
66,7858
68,7858
67,7858
68,7858
64,7858
61,7858
61,7858
60,7858
60,7858
64,7858
68,7858
68,7858
66,7858
65,7858
67,7858
65,7858
61,7858
59,7858
60,7858
61,7858
64,7858
67,7858
68,7858
67,7858
67,7858
66,7858
63,7858
62,7858
61,7858
61,7858
62,7858
64,7858
67,7858
65,7858
68,7858
68,7858
70,7858
71,7858
70,7858
71,7858
72,7858
71,7858
69,7858
67,7858
67,7858
67,7858
65,7858
65,7858
66,7858
67,7858
68,7858
68,7858
67,7858
66,7858
66,7858
66,7858
67,7858
68,7858
66,7858
67,7858
67,7858
65,7858
