GPU Util%,GPU Memory
0,445
1,445
8,445
1,445
0,445
1,445
1,445
8,574
6,648
5,670
2,670
1,670
0,670
1,670
1,670
1,670
1,670
1,670
1,670
1,670
1,7618
2,7618
2,7618
1,7618
1,7618
3,7662
5,7746
5,7792
8,7858
39,7858
89,7858
90,7858
88,7858
88,7858
87,7858
88,7858
89,7858
86,7858
89,7858
89,7858
89,7858
88,7858
88,7858
89,7858
88,7858
89,7858
88,7858
88,7858
88,7858
87,7858
88,7858
87,7858
89,7858
86,7858
87,7858
89,7858
88,7858
88,7858
89,7858
89,7858
89,7858
87,7858
89,7858
88,7858
88,7858
88,7858
88,7858
89,7858
89,7858
88,7858
88,7858
89,7858
88,7858
89,7858
89,7858
89,7858
88,7858
88,7858
88,7858
90,7858
88,7858
88,7858
89,7858
89,7858
88,7858
89,7858
87,7858
87,7858
90,7858
89,7858
87,7858
88,7858
88,7858
88,7858
89,7858
89,7858
89,7858
87,7858
89,7858
88,7858
89,7858
89,7858
89,7858
87,7858
87,7858
87,7858
89,7858
89,7858
89,7858
88,7858
88,7858
88,7858
88,7858
89,7858
88,7858
88,7858
90,7858
90,7858
87,7858
88,7858
89,7858
88,7858
87,7858
88,7858
88,7858
89,7858
89,7858
89,7858
88,7858
88,7858
88,7858
88,7858
88,7858
88,7858
89,7858
89,7858
89,7858
89,7858
89,7858
88,7858
90,7858
87,7858
89,7858
89,7858
90,7858
89,7858
89,7858
89,7858
89,7858
89,7858
88,7858
88,7858
87,7858
89,7858
90,7858
89,7858
88,7858
88,7858
90,7858
89,7858
88,7858
87,7858
89,7858
87,7858
89,7858
87,7858
89,7858
89,7858
89,7858
89,7858
88,7858
88,7858
89,7858
88,7858
89,7858
89,7858
89,7858
89,7858
89,7858
89,7858
89,7858
89,7858
89,7858
87,7858
88,7858
89,7858
87,7858
89,7858
88,7858
88,7858
89,7858
89,7858
90,7858
87,7858
88,7858
88,7858
88,7858
88,7858
86,7858
90,7858
87,7858
87,7858
89,7858
86,7858
89,7858
89,7858
89,7858
87,7858
88,7858
88,7858
87,7858
88,7858
89,7858
87,7858
88,7858
89,7858
89,7858
89,7858
89,7858
88,7858
88,7858
88,7858
88,7858
89,7858
89,7858
89,7858
87,7858
89,7858
89,7858
90,7858
87,7858
88,7858
88,7858
88,7858
89,7858
88,7858
89,7858
89,7858
88,7858
88,7858
89,7858
88,7858
89,7858
88,7858
88,7858
88,7858
88,7858
87,7858
87,7858
89,7858
88,7858
87,7858
88,7858
88,7858
89,7858
89,7858
89,7858
89,7858
88,7858
89,7858
88,7858
88,7858
89,7858
88,7858
88,7858
88,7858
89,7858
88,7858
88,7858
88,7858
89,7858
90,7858
88,7858
84,7858
88,7858
87,7858
89,7858
89,7858
88,7858
88,7858
88,7858
88,7858
88,7858
89,7858
89,7858
89,7858
89,7858
90,7858
88,7858
89,7858
87,7858
89,7858
89,7858
88,7858
88,7858
90,7858
88,7858
88,7858
88,7858
88,7858
88,7858
87,7858
89,7858
88,7858
88,7858
89,7858
89,7858
87,7858
89,7858
88,7858
87,7858
89,7858
89,7858
87,7858
89,7858
88,7858
88,7858
89,7858
89,7858
86,7858
88,7858
87,7858
88,7858
88,7858
88,7858
88,7858
87,7858
84,7858
84,7858
81,7858
84,7858
88,7858
88,7858
88,7858
87,7858
89,7858
88,7858
88,7858
88,7858
89,7858
89,7858
89,7858
87,7858
88,7858
87,7858
89,7858
90,7858
88,7858
87,7858
89,7858
89,7858
89,7858
89,7858
89,7858
88,7858
88,7858
88,7858
88,7858
89,7858
88,7858
89,7858
88,7858
89,7858
88,7858
88,7858
88,7858
88,7858
89,7858
87,7858
89,7858
88,7858
88,7858
89,7858
87,7858
88,7858
88,7858
89,7858
89,7858
89,7858
88,7858
89,7858
88,7858
87,7858
89,7858
89,7858
89,7858
88,7858
87,7858
88,7858
88,7858
89,7858
88,7858
88,7858
88,7858
88,7858
87,7858
89,7858
88,7858
88,7858
89,7858
89,7858
88,7858
89,7858
89,7858
87,7858
88,7858
88,7858
88,7858
88,7858
89,7858
88,7858
89,7858
89,7858
89,7858
87,7858
87,7858
89,7858
88,7858
89,7858
89,7858
88,7858
90,7858
88,7858
89,7858
88,7858
88,7858
82,7858
83,7858
84,7858
83,7858
84,7858
84,7858
83,7858
83,7858
82,7858
81,7858
82,7858
84,7858
83,7858
83,7858
82,7858
82,7858
81,7858
83,7858
82,7858
83,7858
84,7858
71,7858
69,7858
68,7858
67,7858
69,7858
77,7858
78,7858
78,7858
77,7858
77,7858
77,7858
82,7858
83,7858
83,7858
80,7858
82,7858
88,7858
89,7858
88,7858
88,7858
87,7858
88,7858
85,7858
82,7858
84,7858
83,7858
84,7858
89,7858
86,7858
88,7858
87,7858
88,7858
89,7858
88,7858
90,7858
89,7858
88,7858
87,7858
88,7858
89,7858
86,7858
88,7858
87,7858
88,7858
87,7858
87,7858
88,7858
87,7858
88,7858
89,7858
88,7858
89,7858
88,7858
89,7858
88,7858
86,7858
89,7858
88,7858
88,7858
89,7858
89,7858
88,7858
89,7858
88,7858
88,7858
90,7858
87,7858
87,7858
89,7858
89,7858
89,7858
89,7858
88,7858
87,7858
88,7858
89,7858
87,7858
88,7858
87,7858
86,7858
86,7858
87,7858
89,7858
88,7858
87,7858
