GPU Util%,GPU Memory
0,445
9,445
1,445
1,445
1,445
1,445
0,445
0,572
5,646
4,670
1,670
1,670
1,670
1,670
1,670
0,670
0,670
0,670
1,670
1,7618
2,7618
1,7618
1,7618
1,7626
3,7688
4,7758
7,7810
21,7858
85,7858
88,7858
90,7858
89,7858
89,7858
89,7858
88,7858
90,7858
89,7858
90,7858
88,7858
89,7858
90,7858
88,7858
90,7858
91,7858
86,7858
89,7858
89,7858
90,7858
90,7858
90,7858
88,7858
87,7858
90,7858
89,7858
89,7858
88,7858
90,7858
90,7858
89,7858
89,7858
91,7858
89,7858
88,7858
90,7858
89,7858
89,7858
89,7858
89,7858
87,7858
90,7858
91,7858
88,7858
89,7858
88,7858
90,7858
89,7858
87,7858
90,7858
90,7858
88,7858
89,7858
89,7858
89,7858
90,7858
90,7858
89,7858
90,7858
90,7858
91,7858
89,7858
90,7858
88,7858
88,7858
89,7858
89,7858
87,7858
89,7858
88,7858
90,7858
89,7858
89,7858
88,7858
90,7858
88,7858
88,7858
89,7858
89,7858
90,7858
88,7858
89,7858
90,7858
91,7858
90,7858
90,7858
88,7858
88,7858
89,7858
88,7858
88,7858
89,7858
90,7858
90,7858
90,7858
91,7858
89,7858
87,7858
87,7858
88,7858
89,7858
89,7858
90,7858
89,7858
87,7858
89,7858
89,7858
89,7858
87,7858
88,7858
89,7858
89,7858
90,7858
89,7858
89,7858
90,7858
90,7858
90,7858
89,7858
89,7858
87,7858
89,7858
87,7858
88,7858
87,7858
89,7858
89,7858
88,7858
90,7858
88,7858
90,7858
91,7858
89,7858
89,7858
88,7858
84,7858
90,7858
90,7858
89,7858
88,7858
90,7858
91,7858
89,7858
90,7858
88,7858
89,7858
88,7858
90,7858
90,7858
90,7858
89,7858
90,7858
91,7858
90,7858
90,7858
88,7858
88,7858
87,7858
90,7858
88,7858
88,7858
88,7858
91,7858
89,7858
89,7858
90,7858
90,7858
89,7858
87,7858
87,7858
90,7858
90,7858
88,7858
90,7858
89,7858
89,7858
90,7858
89,7858
90,7858
90,7858
90,7858
92,7858
89,7858
90,7858
90,7858
89,7858
88,7858
90,7858
88,7858
89,7858
88,7858
87,7858
89,7858
89,7858
89,7858
89,7858
90,7858
87,7858
90,7858
88,7858
90,7858
90,7858
91,7858
89,7858
89,7858
89,7858
90,7858
88,7858
88,7858
90,7858
91,7858
89,7858
88,7858
88,7858
90,7858
90,7858
88,7858
91,7858
88,7858
88,7858
89,7858
89,7858
89,7858
89,7858
89,7858
89,7858
89,7858
87,7858
89,7858
89,7858
90,7858
90,7858
88,7858
88,7858
