GPU Util%,GPU Memory
0,445
1,445
4,445
1,445
1,445
1,445
1,445
1,566
7,640
5,670
2,7618
4,7660
34,7694
53,7694
51,7694
52,7694
52,7694
52,7694
52,7694
53,7694
51,7694
50,7694
51,7694
51,7694
51,7694
47,7694
48,7694
50,7694
49,7694
50,7694
47,7694
48,7694
48,7694
49,7694
48,7694
49,7694
48,7694
47,7694
45,7694
45,7694
46,7694
47,7694
46,7694
45,7694
45,7694
45,7694
46,7694
45,7694
46,7694
45,7694
45,7694
44,7694
42,7694
45,7694
42,7694
42,7694
44,7694
43,7694
43,7694
42,7694
43,7694
43,7694
42,7694
43,7694
42,7694
43,7694
43,7694
41,7694
43,7694
4,7694
1,445
