GPU Util%,GPU Memory
0,477
3,477
1,477
1,477
1,477
1,477
0,477
8,604
5,676
4,702
1,7624
5,7694
34,7694
49,7694
45,7694
44,7694
44,7694
42,7694
43,7694
42,7694
43,7694
44,7694
42,7694
41,7694
43,7694
42,7694
41,7694
41,7694
40,7694
40,7694
41,7694
40,7694
40,7694
39,7694
40,7694
38,7694
39,7694
39,7694
39,7694
40,7694
38,7694
39,7694
38,7694
38,7694
37,7694
38,7694
37,7694
38,7694
37,7694
36,7694
38,7694
35,7694
36,7694
35,7694
35,7694
36,7694
36,7694
35,7694
35,7694
35,7694
35,7694
36,7694
36,7694
35,7694
35,7694
34,7694
33,7694
32,7694
33,7694
35,7694
34,7694
33,7694
33,7694
33,7694
33,7694
35,7694
33,7694
34,7694
31,7694
32,7694
32,7694
32,7694
31,7694
32,7694
32,7694
32,7694
31,7694
30,7694
30,7694
31,7694
36,7694
34,7694
33,7694
35,7694
34,7694
33,7694
33,7694
36,7694
35,7694
37,7694
35,7694
34,7694
35,7694
33,7694
32,7694
32,7694
32,7694
33,7694
32,7694
35,7694
33,7694
34,7694
32,7694
31,7694
34,7694
36,7694
32,7694
32,7694
32,7694
33,7694
34,7694
32,7694
31,7694
32,7694
32,7694
31,7694
30,7694
30,7694
31,7694
31,7694
33,7694
32,7694
30,7694
30,7694
30,7694
32,7694
34,7694
32,7694
31,7694
31,7694
32,7694
32,7694
32,7694
30,7694
30,7694
30,7694
32,7694
32,7694
33,7694
30,7694
30,7694
30,7694
30,7694
34,7694
30,7694
31,7694
32,7694
34,7694
32,7694
30,7694
29,7694
30,7694
29,7694
30,7694
29,7694
29,7694
33,7694
31,7694
32,7694
32,7694
29,7694
29,7694
28,7694
30,7694
31,7694
30,7694
29,7694
29,7694
29,7694
32,7694
30,7694
29,7694
30,7694
28,7694
30,7694
27,7694
29,7694
30,7694
27,7694
30,7694
31,7694
27,7694
28,7694
28,7694
27,7694
29,7694
28,7694
29,7694
29,7694
30,7694
30,7694
26,7694
29,7694
29,7694
28,7694
27,7694
27,7694
29,7694
28,7694
29,7694
30,7694
29,7694
28,7694
30,7694
29,7694
29,7694
27,7694
27,7694
27,7694
28,7694
27,7694
30,7694
29,7694
26,7694
27,7694
27,7694
26,7694
26,7694
28,7694
27,7694
28,7694
29,7694
28,7694
27,7694
26,7694
26,7694
29,7694
26,7694
27,7694
28,7694
29,7694
31,7694
28,7694
27,7694
27,7694
29,7694
29,7694
27,7694
27,7694
26,7694
26,7694
26,7694
27,7694
28,7694
27,7694
27,7694
29,7694
26,7694
27,7694
27,7694
26,7694
28,7694
27,7694
27,7694
27,7694
26,7694
27,7694
24,7694
27,7694
26,7694
29,7694
26,7694
26,7694
26,7694
27,7694
27,7694
26,7694
27,7694
28,7694
25,7694
27,7694
26,7694
27,7694
26,7694
27,7694
28,7694
25,7694
26,7694
26,7694
25,7694
27,7694
26,7694
26,7694
28,7694
27,7694
26,7694
25,7694
28,7694
28,7694
26,7694
26,7694
27,7694
25,7694
25,7694
26,7694
25,7694
27,7694
28,7694
26,7694
24,7694
25,7694
25,7694
25,7694
26,7694
26,7694
27,7694
27,7694
25,7694
26,7694
26,7694
25,7694
27,7694
27,7694
26,7694
28,7694
24,7694
25,7694
26,7694
26,7694
27,7694
25,7694
26,7694
26,7694
24,7694
26,7694
24,7694
26,7694
24,7694
24,7694
26,7694
26,7694
25,7694
25,7694
26,7694
26,7694
24,7694
23,7694
26,7694
24,7694
23,7694
26,7694
25,7694
25,7694
25,7694
24,7694
27,7694
24,7694
25,7694
26,7694
24,7694
25,7694
25,7694
25,7694
25,7694
25,7694
25,7694
25,7694
25,7694
25,7694
25,7694
25,7694
27,7694
25,7694
26,7694
24,7694
24,7694
25,7694
26,7694
26,7694
27,7694
24,7694
25,7694
26,7694
25,7694
25,7694
25,7694
26,7694
26,7694
24,7694
25,7694
24,7694
25,7694
26,7694
24,7694
25,7694
24,7694
25,7694
26,7694
25,7694
24,7694
25,7694
25,7694
24,7694
26,7694
24,7694
25,7694
24,7694
25,7694
24,7694
24,7694
24,7694
25,7694
24,7694
24,7694
24,7694
24,7694
23,7694
25,7694
23,7694
24,7694
24,7694
24,7694
25,7694
25,7694
24,7694
24,7694
24,7694
24,7694
24,7694
25,7694
25,7694
23,7694
22,7694
26,7694
25,7694
26,7694
25,7694
24,7694
24,7694
24,7694
25,7694
23,7694
23,7694
24,7694
24,7694
25,7694
24,7694
23,7694
24,7694
23,7694
24,7694
24,7694
25,7694
25,7694
25,7694
24,7694
25,7694
24,7694
25,7694
23,7694
24,7694
24,7694
25,7694
25,7694
24,7694
24,7694
26,7694
23,7694
24,7694
24,7694
24,7694
24,7694
23,7694
23,7694
24,7694
24,7694
23,7694
24,7694
24,7694
23,7694
24,7694
23,7694
24,7694
26,7694
23,7694
23,7694
23,7694
23,7694
25,7694
23,7694
25,7694
23,7694
24,7694
25,7694
23,7694
24,7694
23,7694
23,7694
23,7694
24,7694
22,7694
24,7694
24,7694
23,7694
24,7694
25,7694
24,7694
21,7694
23,7694
23,7694
24,7694
23,7694
24,7694
22,7694
24,7694
21,7694
24,7694
23,7694
23,7694
22,7694
24,7694
24,7694
24,7694
23,7694
23,7694
22,7694
23,7694
22,7694
23,7694
25,7694
24,7694
23,7694
23,7694
22,7694
23,7694
23,7694
26,7694
24,7694
22,7694
24,7694
24,7694
24,7694
23,7694
22,7694
22,7694
22,7694
22,7694
23,7694
22,7694
24,7694
24,7694
24,7694
23,7694
24,7694
23,7694
22,7694
22,7694
23,7694
23,7694
23,7694
23,7694
22,7694
25,7694
23,7694
22,7694
22,7694
23,7694
24,7694
22,7694
21,7694
24,7694
23,7694
22,7694
24,7694
22,7694
24,7694
24,7694
23,7694
24,7694
24,7694
23,7694
23,7694
23,7694
22,7694
23,7694
23,7694
23,7694
23,7694
23,7694
23,7694
22,7694
22,7694
22,7694
22,7694
22,7694
23,7694
22,7694
22,7694
24,7694
23,7694
23,7694
23,7694
22,7694
23,7694
22,7694
23,7694
22,7694
21,7694
23,7694
22,7694
22,7694
22,7694
22,7694
22,7694
23,7694
22,7694
22,7694
24,7694
22,7694
22,7694
22,7694
17,7694
22,7694
22,7694
22,7694
22,7694
23,7694
22,7694
21,7694
23,7694
22,7694
23,7694
21,7694
22,7694
23,7694
21,7694
22,7694
16,7694
16,7694
22,7694
22,7694
18,7694
13,7694
22,7694
23,7694
22,7694
20,7694
12,7694
21,7694
23,7694
22,7694
22,7694
22,7694
22,7694
21,7694
22,7694
22,7694
22,7694
22,7694
22,7694
22,7694
22,7694
21,7694
21,7694
22,7694
23,7694
21,7694
21,7694
22,7694
22,7694
22,7694
22,7694
22,7694
22,7694
21,7694
22,7694
22,7694
21,7694
22,7694
22,7694
21,7694
22,7694
21,7694
20,7694
19,7694
19,7694
19,7694
19,7694
19,7694
19,7694
19,7694
18,7694
19,7694
19,7694
18,7694
19,7694
18,7694
19,7694
19,7694
18,7694
18,7694
20,7694
18,7694
19,7694
22,7694
21,7694
21,7694
21,7694
20,7694
19,7694
18,7694
19,7694
19,7694
18,7694
19,7694
18,7694
17,7694
19,7694
17,7694
18,7694
18,7694
20,7694
19,7694
17,7694
19,7694
19,7694
21,7694
21,7694
21,7694
21,7694
21,7694
21,7694
22,7694
21,7694
22,7694
21,7694
21,7694
20,7694
20,7694
20,7694
20,7694
21,7694
21,7694
21,7694
21,7694
21,7694
20,7694
19,7694
20,7694
20,7694
20,7694
21,7694
21,7694
21,7694
20,7694
20,7694
20,7694
17,7694
17,7694
16,7694
16,7694
17,7694
18,7694
18,7694
19,7694
9,7694
1,7632
15,477
