GPU Util%,GPU Memory
13,2778
0,2770
0,2770
7,2770
1,2770
0,2780
8,2770
1,2770
8,2770
14,2766
1,2766
20,2766
14,2766
4,2774
1,2766
17,2766
1,2766
0,2776
0,2766
0,2774
0,2766
0,2766
6,2766
3,2766
0,2769
0,2769
3,2769
1,2769
0,2777
0,2766
0,2766
0,2766
0,2766
1,2766
1,2766
0,2774
1,2766
0,2766
1,2766
0,2774
1,2766
4,2766
0,2776
7,2766
0,2766
0,2766
6,2766
1,2766
17,2766
0,2776
16,2776
0,2766
5,2766
3,2766
12,2771
0,2771
46,2778
10,2770
0,2770
4,2768
4,2768
3,2768
0,2768
10,2776
4,2768
1,2778
0,2768
0,2768
4,2768
6,2768
6,2768
3,2768
0,2768
5,2768
20,2776
1,2918
1,2967
1,3009
1,3025
1,3015
0,3023
0,3023
0,3025
0,7627
2,7628
7,7764
79,7852
74,7867
99,7867
99,7868
99,7861
60,7861
99,7871
98,7862
100,7861
99,7861
99,7869
99,7869
99,7869
98,7861
97,7869
99,7861
100,7861
99,7869
99,7861
99,7861
98,7867
99,7862
99,7861
99,7861
98,7861
96,7871
97,7861
97,7861
99,7871
99,7870
97,7870
97,7870
98,7869
98,7869
97,7863
97,7871
99,7863
99,7863
99,7863
99,7863
99,7871
99,7871
98,7863
97,7863
99,7863
100,7863
99,7863
99,7863
99,7871
99,7863
99,7863
99,7863
98,7863
98,7871
98,7871
98,7871
98,7863
97,7863
98,7871
98,7863
98,7863
99,7863
98,7863
98,7863
97,7863
98,7863
97,7863
98,7871
99,7871
99,7863
99,7863
99,7863
99,7863
99,7863
99,7863
97,7863
98,7863
99,7863
100,7863
99,7863
99,7871
99,7871
99,7863
99,7863
97,7863
98,7863
99,7863
97,7863
97,7863
99,7863
98,7863
97,7863
99,7863
100,7871
97,7852
97,7844
98,7844
97,7844
98,7844
98,7844
97,7844
96,7852
97,7844
98,7844
98,7844
99,7844
99,7852
99,7852
97,7852
97,7844
97,7844
96,7844
98,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7852
98,7852
99,7852
99,7844
99,7844
99,7852
99,7844
99,7844
99,7844
98,7844
97,7844
99,7844
99,7844
100,7844
99,7852
99,7852
99,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7852
99,7844
99,7844
99,7844
99,7844
99,7852
100,7852
100,7844
98,7844
99,7844
98,7844
99,7844
99,7844
98,7852
99,7844
99,7844
99,7844
99,7844
99,7852
99,7852
99,7852
98,7844
98,7844
98,7844
98,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7852
99,7852
99,7844
99,7844
99,7844
100,7844
100,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7844
99,7852
99,7852
99,7844
99,7844
99,7844
99,7844
99,7844
100,7844
100,7852
99,7844
99,7844
98,7844
97,7844
97,7852
98,7852
97,7844
97,7844
98,7844
99,7844
99,7844
99,7844
97,7852
99,7844
99,7844
97,7844
98,7844
97,7852
97,7852
98,7852
100,7844
99,7844
99,7852
99,7844
97,7844
98,7844
97,7844
98,7844
98,7844
99,7852
99,7844
99,7852
99,7852
97,7818
97,7818
97,7818
98,7818
100,7818
100,7818
99,7818
99,7818
99,7818
99,7826
96,7818
97,7826
98,7826
100,7818
99,7818
99,7818
99,7833
99,7835
99,7836
99,7836
99,7837
99,7831
99,7829
97,7829
97,7837
100,7837
97,7836
97,7828
98,7828
99,7828
99,7828
99,7828
99,7828
99,7828
99,7828
99,7828
99,7828
98,7828
97,7836
97,7836
99,7838
98,7828
97,7828
98,7828
98,7828
97,7828
99,7829
99,7833
99,7833
100,7831
99,7832
99,7839
99,7836
99,7837
98,7829
97,7827
99,7827
99,7825
99,7826
97,7826
98,7834
97,7826
99,7827
99,7827
99,7827
99,7835
99,7835
99,7837
99,7827
99,7827
99,7827
99,7827
99,7827
99,7827
99,7827
97,7827
97,7825
99,7835
96,7828
97,7836
97,7836
97,7828
99,7827
99,7826
99,7826
98,7824
100,7825
99,7833
99,7823
99,7824
98,7824
98,7824
99,7833
99,7833
99,7833
98,7825
97,7825
97,7825
99,7825
99,7825
97,7825
98,7825
99,7825
99,7824
99,7833
99,7827
99,7833
99,7833
99,7830
99,7831
99,7831
96,7831
98,7830
97,7830
99,7830
99,7830
97,7828
97,7829
98,7829
98,7837
99,7838
99,7838
99,7829
98,7830
98,7827
99,7828
99,7829
98,7829
98,7829
97,7830
99,7830
99,7830
97,7830
97,7838
98,7837
98,7840
98,7829
100,7825
99,7835
99,7828
99,7828
99,7828
99,7828
99,7827
99,7827
97,7835
99,7827
99,7815
99,7815
97,7807
97,7806
100,7807
99,7805
98,7806
97,7806
97,7814
99,7807
99,7807
99,7806
99,7656
99,7662
99,7663
98,7665
97,7655
97,7655
97,7656
98,7656
99,7654
99,7654
99,7654
97,7653
97,7653
98,7661
99,7653
98,7661
98,7661
99,7653
99,7653
99,7653
97,7653
98,7653
97,7653
98,7661
99,7653
99,7653
99,7653
99,7653
99,7661
99,7661
97,7653
97,7653
99,7653
99,7653
99,7653
99,7653
99,7653
99,7653
99,7653
100,7653
99,7653
99,7661
99,7661
99,7663
99,7653
99,7653
97,7661
98,7653
100,7653
99,7653
99,7653
99,7653
99,7653
99,7661
97,7653
98,7661
97,7661
100,7653
99,7653
99,7653
99,7653
99,7653
99,7653
97,7661
100,7653
99,7653
99,7661
99,7653
99,7661
99,7661
99,7653
97,7653
97,7653
100,7653
99,7653
99,7653
99,7661
99,7653
99,7653
98,7653
99,7653
99,7661
99,7661
99,7661
99,7653
99,7653
99,7661
99,7653
97,7653
100,7653
99,7653
99,7653
99,7653
99,7661
99,7653
99,7661
97,7661
99,7653
100,7653
99,7653
99,7653
99,7653
99,7653
97,7661
97,7653
100,7653
100,7661
99,7653
99,7661
99,7661
99,7653
96,7653
99,7653
100,7653
100,7653
99,7653
99,7661
99,7653
99,7653
99,7653
97,7653
98,7661
100,7661
100,7663
99,7653
99,7653
99,7661
99,7653
97,7653
98,7653
100,7653
99,7653
99,7653
99,7661
99,7653
99,7661
98,7661
97,7653
100,7653
99,7653
99,7653
99,7653
99,7653
99,7661
97,7653
97,7653
99,7661
99,7653
99,7661
99,7661
99,7653
99,7653
98,7653
98,7653
100,7653
99,7653
99,7661
99,7653
99,7653
99,7653
97,7653
97,7661
99,7666
99,7666
99,7658
99,7658
99,7666
99,7657
98,7657
100,7657
100,7657
99,7657
99,7657
99,7665
99,7657
99,7665
99,7665
97,7657
100,7657
99,7657
99,7653
99,7653
99,7653
99,7661
99,7653
98,7653
98,7661
99,7653
99,7661
99,7661
99,7653
99,7653
99,7653
97,7653
98,7653
99,7654
100,7662
99,7654
99,7654
99,7654
99,7653
97,7661
98,7661
99,7661
99,7653
99,7653
99,7661
99,7653
99,7653
98,7653
98,7653
100,7653
99,7653
99,7661
99,7653
99,7661
99,7661
99,7653
98,7653
99,7653
100,7653
99,7653
99,7653
99,7653
99,7653
99,7653
97,7661
99,7653
100,7661
99,7661
99,7653
99,7653
99,7653
99,7653
99,7653
98,7653
100,7661
99,7653
99,7653
99,7653
99,7653
99,7661
99,7661
98,7661
98,7653
100,7653
99,7661
99,7653
99,7653
99,7653
99,7653
99,7653
97,7653
99,7673
99,7684
99,7692
99,7692
98,7684
97,7676
99,7676
97,7676
98,7676
98,7676
97,7684
98,7676
99,7676
99,7676
99,7676
97,7684
97,7684
97,7686
97,7676
97,7676
98,7676
99,7676
99,7676
98,7676
97,7676
98,7676
97,7676
97,7684
99,7675
99,7683
99,7683
98,7675
97,7675
97,7675
98,7675
98,7675
99,7675
99,7675
98,7675
98,7675
98,7663
98,7655
98,7663
99,7663
99,7655
99,7655
99,7655
98,7655
98,7655
97,7655
99,7663
99,7655
99,7655
99,7655
98,7655
98,7663
99,7663
99,7655
99,7655
99,7655
99,7655
99,7655
99,7670
97,7675
99,7675
99,7675
99,7677
99,7673
99,7681
99,7681
100,7681
100,7673
99,7671
99,7679
99,7671
99,7673
99,7673
98,7673
99,7673
99,7675
99,7683
99,7675
99,7685
99,7685
98,7677
100,7677
99,7677
99,7677
99,7677
99,7676
99,7676
98,7676
97,7676
100,7684
99,7676
99,7684
99,7684
99,7676
99,7676
97,7676
97,7676
100,7676
99,7676
99,7684
99,7676
99,7676
99,7676
99,7676
96,7684
100,7684
99,7686
99,7676
99,7676
99,7684
99,7676
98,7676
99,7676
99,7676
99,7676
99,7676
99,7684
99,7676
99,7684
99,7684
99,7676
98,7676
97,7676
99,7676
100,7676
99,7676
99,7676
99,7676
99,7676
97,7684
98,7676
100,7684
99,7684
100,7676
99,7676
99,7676
99,7676
99,7676
98,7676
97,7684
99,7676
99,7676
99,7676
99,7676
99,7684
99,7684
98,7686
98,7676
100,7676
99,7684
99,7676
99,7676
99,7676
99,7676
97,7676
98,7676
100,7676
99,7676
99,7684
99,7684
99,7676
99,7676
99,7676
98,7677
98,7676
100,7676
99,7684
99,7676
99,7676
99,7684
99,7676
99,7684
98,7684
97,7676
100,7676
99,7676
99,7676
99,7676
99,7676
99,7684
97,7676
98,7676
98,7676
100,7676
99,7684
99,7684
99,7684
99,7676
99,7676
99,7684
98,7676
100,7676
99,7676
99,7676
99,7676
99,7676
99,7684
98,7676
99,7684
98,7684
99,7676
99,7676
99,7676
99,7676
99,7676
98,7676
99,7684
100,7676
100,7676
99,7684
99,7676
99,7684
99,7684
99,7676
98,7676
99,7676
99,7676
99,7676
99,7676
99,7684
99,7676
98,7676
97,7676
100,7676
99,7684
99,7684
99,7686
99,7676
99,7676
97,7684
98,7676
100,7676
100,7676
99,7676
99,7676
99,7676
99,7684
97,7676
99,7684
97,7684
99,7676
100,7676
99,7676
99,7676
99,7676
99,7676
98,7684
97,7676
100,7676
99,7684
99,7676
99,7684
99,7684
99,7676
99,7676
97,7676
96,7676
99,7676
99,7676
99,7684
99,7676
99,7676
99,7676
98,7676
98,7684
99,7684
99,7686
99,7676
99,7676
99,7684
99,7676
99,7676
97,7676
100,7676
99,7676
99,7676
99,7684
99,7676
99,7684
99,7684
98,7676
98,7676
100,7676
99,7676
99,7676
99,7676
99,7684
99,7676
98,7676
100,7684
99,7676
99,7684
99,7684
99,7676
99,7676
97,7676
97,7676
100,7676
99,7676
99,7684
99,7676
99,7676
99,7676
99,7676
98,7684
98,7684
100,7684
99,7676
99,7676
99,7684
99,7676
99,7676
99,7676
98,7676
99,7676
99,7676
99,7684
99,7676
99,7684
99,7684
99,7676
99,7676
99,7676
98,7676
99,7676
100,7676
99,7676
99,7676
99,7676
99,7679
98,7671
97,7679
100,7679
100,7671
99,7671
99,7671
99,7671
99,7671
98,7671
97,7679
100,7671
99,7671
99,7671
99,7671
99,7679
99,7679
98,7681
98,7671
99,7671
100,7679
99,7671
99,7671
99,7671
99,7671
99,7671
98,7671
100,7679
100,7671
99,7679
99,7679
99,7671
99,7671
99,7671
97,7671
99,7681
99,7688
99,7688
99,7688
97,7688
99,7685
99,7679
97,7688
97,7688
98,7685
97,7677
97,7678
99,7687
99,7679
100,7679
99,7679
99,7679
99,7679
99,7679
97,7687
98,7679
98,7685
99,7686
97,7678
98,7679
96,7679
99,7679
99,7673
99,7673
96,7681
100,7673
100,7670
99,7675
97,7675
