GPU Util%,GPU Memory
0,767
0,767
0,767
2,767
2,767
2,776
4,800
4,932
4,1012
4,4340
4,7036
4,7134
4,7248
19,7330
19,7446
19,7554
18,7554
18,7554
18,7554
18,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
43,7554
43,7554
43,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
43,7554
43,7554
43,7554
43,7554
42,7554
42,7554
42,7554
43,7554
43,7554
43,7554
43,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
43,7554
43,7554
43,7554
43,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
43,7554
43,7554
43,7554
43,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
43,7554
43,7554
43,7554
43,7554
43,7554
43,7554
43,7554
40,7554
40,7554
40,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
43,7554
43,7554
43,7554
43,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
40,7554
40,7554
40,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
43,7554
43,7554
43,7554
43,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
40,7554
40,7554
40,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
43,7554
43,7554
43,7554
43,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
40,7554
40,7554
40,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
40,7554
40,7554
40,7554
40,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
40,7554
40,7554
40,7554
39,7554
39,7554
39,7554
40,7554
40,7554
40,7554
40,7554
41,7554
41,7554
41,7554
40,7554
40,7554
40,7554
40,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
43,7554
43,7554
43,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
42,7554
41,7554
41,7554
41,7554
39,7554
39,7554
39,7554
39,7554
40,7554
40,7554
40,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
41,7554
42,7554
42,7554
42,7554
42,7554
