GPU Util%,GPU Memory
3,588
3,588
3,588
3,588
4,588
4,588
4,605
4,751
6,833
6,4545
6,6848
6,6954
20,7072
20,7150
20,7266
20,7374
9,7374
9,7374
9,7374
34,7374
34,7374
34,7374
34,7374
36,7374
36,7374
36,7374
36,7374
35,7374
35,7374
35,7374
35,7374
36,7374
36,7374
36,7374
36,7374
35,7374
35,7374
35,7374
38,7374
38,7377
38,7382
38,7382
37,7382
37,7380
37,7381
37,7381
38,7381
38,7381
38,7395
38,7395
37,7395
37,7388
37,7388
37,7388
38,7390
38,7390
38,7390
37,7390
37,7390
37,7390
37,7394
38,7394
38,7394
38,7393
38,7393
38,7393
38,7400
38,7405
38,7412
37,7415
37,7411
37,7411
37,7411
37,7411
37,7411
37,7411
36,7411
36,7410
36,7410
36,7410
37,7410
37,7410
37,7406
37,7406
36,7406
36,7406
36,7406
36,7406
35,7406
35,7402
35,7402
38,7402
38,7402
38,7402
38,7402
39,7402
39,7402
39,7402
39,7402
38,7402
38,7402
38,7402
38,7402
38,7402
38,7402
38,7402
38,7404
39,7404
39,7407
39,7409
38,7409
38,7409
38,7409
38,7409
36,7409
36,7409
36,7409
36,7409
35,7409
35,7409
35,7409
35,7409
34,7409
34,7409
34,7409
34,7409
33,7409
33,7409
33,7395
36,7389
36,7389
36,7389
36,7396
36,7395
36,7395
36,7395
36,7395
37,7395
37,7395
37,7395
37,7395
34,7395
34,7395
34,7395
36,7395
36,7400
36,7400
36,7400
36,7400
36,7398
36,7401
36,7401
37,7401
37,7401
37,7401
35,7401
35,7401
35,7401
35,7401
37,7401
37,7401
37,7400
37,7400
38,7400
38,7400
38,7400
38,7401
36,7401
36,7401
36,7401
38,7400
38,7400
38,7395
38,7391
38,7391
38,7403
38,7403
38,7403
38,7403
38,7403
38,7403
38,7403
38,7403
38,7403
38,7405
39,7405
39,7405
39,7405
39,7405
38,7405
38,7398
38,7398
37,7398
37,7398
37,7398
37,7398
36,7398
36,7398
36,7398
36,7398
33,7398
33,7398
33,7398
33,7398
35,7394
35,7386
35,7386
37,7390
37,7390
37,7390
37,7390
37,7389
37,7389
37,7389
37,7391
39,7391
39,7391
39,7391
37,7391
37,7391
37,7391
37,7392
37,7392
37,7392
37,7392
37,7393
38,7400
38,7405
38,7407
36,7407
36,7407
36,7408
36,7408
32,7408
32,7408
32,7408
32,7408
35,7408
35,7408
35,7408
37,7408
37,7408
37,7408
37,7408
36,7408
36,7408
36,7408
36,7408
37,7408
37,7384
37,7401
37,7401
37,7401
37,7401
37,7401
36,7401
36,7401
36,7401
36,7401
35,7401
35,7401
35,7401
35,7401
35,7402
35,7401
35,7421
34,7421
34,7421
34,7421
34,7421
36,7421
36,7421
36,7421
36,7421
37,7421
37,7421
37,7421
37,7421
37,7421
37,7397
37,7408
37,7408
37,7408
37,7408
37,7397
38,7399
38,7399
38,7399
38,7399
36,7399
36,7399
36,7399
38,7399
38,7399
38,7399
38,7397
39,7397
39,7397
39,7397
39,7399
37,7402
37,7402
37,7408
37,7408
38,7408
38,7419
38,7396
37,7396
37,7396
37,7396
37,7396
35,7396
35,7396
35,7396
35,7396
34,7396
34,7396
34,7380
36,7399
36,7408
36,7409
36,7409
37,7409
37,7409
37,7409
37,7405
35,7401
35,7401
35,7401
37,7401
37,7401
37,7402
37,7402
37,7402
37,7402
37,7402
37,7402
38,7402
38,7399
38,7399
38,7398
38,7399
38,7401
38,7401
38,7401
35,7401
35,7401
35,7403
35,7403
35,7403
35,7403
35,7403
35,7402
35,7402
35,7401
35,7401
35,7401
35,7401
35,7401
35,7397
37,7397
37,7397
37,7397
37,7397
37,7397
37,7397
37,7397
38,7397
38,7397
38,7396
38,7396
38,7396
38,7396
38,7396
38,7396
39,7396
39,7396
39,7396
39,7396
38,7396
38,7396
38,7389
38,7385
39,7389
39,7389
39,7389
37,7389
37,7389
37,7389
37,7389
38,7389
38,7389
38,7390
38,7390
39,7390
39,7390
39,7390
39,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
38,7390
39,7390
39,7394
39,7394
39,7394
37,7395
37,7442
37,7423
38,7415
38,7415
38,7415
38,7415
36,7438
36,7434
36,7434
36,7434
37,7434
37,7434
37,7434
37,7434
36,7434
36,7434
36,7434
36,7433
38,7433
38,7433
38,7433
38,7433
38,7432
38,7435
38,7433
38,7433
38,7433
38,7434
38,7425
39,7423
39,7409
39,7412
39,7399
38,7416
38,7410
38,7413
37,7413
37,7413
37,7413
37,7409
36,7406
36,7418
36,7415
36,7406
36,7406
36,7406
36,7406
36,7406
36,7406
36,7406
36,7406
36,7406
36,7406
36,7406
36,7405
37,7405
37,7405
37,7405
37,7405
37,7405
37,7405
37,7405
37,7405
37,7405
37,7402
37,7402
37,7402
36,7402
36,7402
36,7402
38,7402
38,7402
38,7396
38,7394
39,7385
39,7381
39,7377
39,7379
39,7381
39,7381
39,7381
39,7381
38,7381
38,7381
38,7381
36,7381
36,7381
36,7381
36,7381
37,7381
37,7381
37,7379
37,7379
37,7378
37,7383
37,7383
37,7383
37,7383
37,7383
37,7384
37,7384
35,7394
35,7394
35,7394
35,7394
35,7394
35,7394
35,7394
36,7411
36,7382
36,7379
36,7371
36,7399
36,7399
36,7384
36,7384
36,7384
36,7404
36,7402
37,7402
37,7422
37,7431
37,7452
36,7452
36,7441
36,7441
36,7441
36,7441
36,7441
36,7440
38,7436
38,7431
38,7420
38,7386
40,7415
40,7415
40,7415
40,7412
38,7411
38,7411
38,7419
38,7403
38,7403
38,7395
38,7397
38,7396
39,7396
39,7396
39,7396
37,7396
37,7395
37,7404
37,7409
38,7409
38,7409
38,7409
38,7409
39,7406
39,7404
39,7404
39,7404
38,7416
38,7423
38,7423
38,7422
38,7422
38,7418
38,7418
38,7418
38,7417
38,7417
38,7422
38,7416
38,7384
38,7392
38,7404
36,7404
36,7404
36,7404
36,7404
38,7404
38,7404
38,7404
39,7404
39,7407
39,7408
39,7410
36,7415
36,7414
36,7414
36,7416
37,7412
37,7410
37,7422
37,7422
39,7421
39,7421
39,7421
37,7421
37,7421
37,7413
37,7411
37,7411
37,7411
37,7411
37,7410
38,7410
38,7410
38,7410
38,7408
38,7395
38,7389
38,7389
39,7389
39,7386
39,7379
39,7381
38,7381
38,7381
38,7381
38,7381
35,7381
35,7381
35,7381
35,7381
36,7381
36,7381
36,7381
36,7381
38,7381
38,7381
38,7381
39,7382
39,7382
39,7382
39,7381
39,7373
39,7373
39,7373
39,7377
38,7389
38,7436
38,7438
36,7438
36,7438
36,7438
36,7438
38,7438
38,7438
38,7438
38,7438
38,7438
38,7438
38,7438
38,7438
36,7438
36,7438
36,7438
36,7438
37,7438
37,7438
37,7438
37,7438
37,7438
37,7438
37,7438
37,7438
37,7438
37,7438
37,7438
38,7438
38,7438
38,7438
38,7438
39,7438
39,7409
39,7405
39,7389
39,7389
39,7389
39,7389
39,7389
36,7388
36,7388
36,7388
37,7388
37,7383
37,7383
37,7383
38,7383
38,7390
38,7390
38,7390
38,7393
38,7393
38,7393
38,7393
37,7398
37,7400
37,7405
37,7407
37,7407
37,7408
37,7408
36,7408
36,7408
36,7408
36,7408
35,7408
