GPU Util%,GPU Memory
0,768
0,768
0,768
0,768
1,768
1,778
8,786
8,900
8,1004
2,1014
2,1014
2,6984
2,7024
2,7128
16,7234
16,7332
3,7398
3,7516
3,7556
19,7556
19,7556
32,7556
32,7556
34,7556
34,7556
34,7556
36,7556
36,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
39,7556
39,7556
36,7556
36,7556
36,7556
38,7556
38,7556
38,7556
38,7556
39,7556
39,7556
38,7556
38,7556
38,7556
37,7556
37,7556
36,7556
36,7556
38,7556
38,7556
38,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
38,7556
38,7556
38,7556
39,7556
39,7556
37,7556
37,7556
36,7556
36,7556
36,7556
37,7556
37,7556
36,7556
36,7556
39,7556
39,7556
39,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
38,7556
38,7556
38,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
37,7556
37,7556
39,7556
39,7556
37,7556
37,7556
37,7556
36,7556
36,7556
37,7556
37,7556
35,7556
35,7556
35,7556
37,7556
37,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
39,7556
39,7556
39,7556
37,7556
37,7556
36,7556
36,7556
37,7556
37,7556
37,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
37,7556
36,7556
36,7556
37,7556
37,7556
37,7556
36,7556
36,7556
36,7556
36,7556
38,7556
38,7556
38,7556
37,7556
37,7556
35,7556
35,7556
35,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
37,7556
36,7556
36,7556
36,7556
38,7556
38,7556
39,7556
39,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
35,7556
35,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
38,7556
38,7556
39,7556
39,7556
39,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
36,7556
36,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
40,7556
40,7556
40,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
39,7556
39,7556
39,7556
39,7556
39,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
39,7556
39,7556
39,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
36,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
39,7556
39,7556
37,7556
37,7556
37,7556
38,7556
38,7556
39,7556
39,7556
38,7556
38,7556
38,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
39,7556
39,7556
39,7556
38,7556
38,7556
39,7556
39,7556
39,7556
36,7556
36,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
39,7556
39,7556
38,7556
38,7556
38,7556
38,7556
38,7556
39,7556
39,7556
39,7556
37,7556
37,7556
39,7556
39,7556
39,7556
37,7556
37,7556
38,7556
38,7556
38,7556
37,7556
37,7556
38,7556
38,7556
36,7556
36,7556
36,7556
36,7556
36,7556
39,7556
39,7556
39,7556
39,7556
39,7556
37,7556
37,7556
37,7556
37,7556
37,7556
36,7556
36,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
36,7556
36,7556
38,7556
38,7556
37,7556
37,7556
37,7556
36,7556
36,7556
37,7556
37,7556
36,7556
36,7556
37,7556
37,7556
37,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
39,7556
39,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
36,7556
36,7556
36,7556
36,7556
35,7556
35,7556
35,7556
37,7556
37,7556
39,7556
39,7556
38,7556
38,7556
38,7556
36,7556
36,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
37,7556
37,7556
38,7556
38,7556
39,7556
39,7556
39,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
39,7556
39,7556
39,7556
36,7556
36,7556
37,7556
37,7556
37,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
38,7556
36,7556
36,7556
38,7556
38,7556
38,7556
38,7556
38,7556
39,7556
39,7556
39,7556
37,7556
37,7556
38,7556
38,7556
37,7556
37,7556
38,7556
38,7556
38,7556
38,7556
38,7556
37,7556
37,7556
37,7556
38,7556
38,7556
37,7556
37,7556
36,7556
36,7556
36,7556
39,7556
39,7556
37,7556
37,7556
37,7556
39,7556
39,7556
38,7556
38,7556
39,7556
39,7556
39,7556
36,7556
36,7556
37,7556
37,7556
37,7556
