GPU Util%,GPU Memory
0,730
0,730
0,730
1,730
1,739
1,747
15,829
15,945
2,975
2,975
0,975
0,975
0,6945
16,6945
16,7039
2,7137
2,7239
2,7271
2,7325
7,7417
19,7477
19,7517
32,7517
32,7517
28,7517
29,7517
29,7517
29,7517
36,7517
36,7517
33,7517
33,7517
33,7517
34,7517
34,7517
33,7517
40,7517
40,7517
32,7517
32,7517
35,7517
36,7517
36,7517
33,7517
33,7517
36,7517
34,7517
34,7517
36,7517
33,7517
33,7517
34,7517
35,7517
35,7517
33,7517
34,7517
34,7517
32,7517
36,7517
36,7517
33,7517
36,7517
36,7517
33,7517
36,7517
36,7517
33,7517
33,7517
34,7517
38,7517
38,7517
34,7517
34,7517
37,7517
34,7517
34,7517
35,7517
35,7517
38,7517
34,7517
34,7517
38,7517
33,7517
33,7517
35,7517
35,7517
36,7517
33,7517
33,7517
39,7517
39,7517
31,7517
36,7517
36,7517
35,7517
33,7517
33,7517
37,7517
37,7517
32,7517
37,7517
37,7517
33,7517
33,7517
32,7517
36,7517
36,7517
33,7517
38,7517
38,7517
32,7517
32,7517
35,7517
34,7517
34,7517
36,7517
31,7517
31,7517
36,7517
36,7517
37,7517
35,7517
35,7517
39,7517
39,7517
34,7517
35,7517
35,7517
35,7517
35,7517
33,7517
36,7517
36,7517
34,7517
34,7517
38,7517
33,7517
35,7517
35,7517
34,7517
34,7517
36,7517
35,7517
35,7517
33,7517
33,7517
36,7517
33,7517
33,7517
35,7517
35,7517
34,7517
32,7517
32,7517
38,7517
33,7517
33,7517
36,7517
36,7517
36,7517
33,7517
33,7517
39,7517
39,7517
32,7517
34,7517
34,7517
33,7517
33,7517
34,7517
31,7517
31,7517
34,7517
36,7517
36,7517
31,7517
31,7517
38,7517
38,7517
33,7517
34,7517
34,7517
31,7517
31,7517
35,7517
37,7517
37,7517
33,7517
33,7517
34,7517
34,7517
34,7517
37,7517
32,7517
32,7517
35,7517
35,7517
35,7517
31,7517
31,7517
39,7517
39,7517
33,7517
34,7517
34,7517
35,7517
35,7517
33,7517
34,7517
34,7517
32,7517
32,7517
38,7517
31,7517
31,7517
35,7517
36,7517
36,7517
33,7517
33,7517
37,7517
34,7517
34,7517
34,7517
34,7517
33,7517
36,7517
36,7517
32,7517
37,7517
37,7517
34,7517
34,7517
30,7517
40,7517
40,7517
31,7517
31,7517
35,7517
35,7517
35,7517
32,7517
32,7517
38,7517
33,7517
33,7517
36,7517
37,7517
37,7517
32,7517
37,7517
37,7517
37,7517
37,7517
34,7517
37,7517
37,7517
36,7517
36,7517
33,7517
38,7517
38,7517
37,7517
37,7517
33,7517
36,7517
36,7517
34,7517
33,7517
33,7517
36,7517
36,7517
33,7517
34,7517
34,7517
33,7517
33,7517
38,7517
32,7517
32,7517
34,7517
34,7517
39,7517
33,7517
33,7517
35,7517
35,7517
35,7517
32,7517
32,7517
37,7517
31,7517
31,7517
35,7517
35,7517
37,7517
34,7517
34,7517
38,7517
38,7517
34,7517
33,7517
33,7517
39,7517
39,7517
33,7517
34,7517
34,7517
39,7517
39,7517
36,7517
31,7517
31,7517
36,7517
33,7517
33,7517
35,7517
35,7517
36,7517
34,7517
34,7517
37,7517
37,7517
32,7517
37,7517
37,7517
33,7517
33,7517
34,7517
36,7517
36,7517
33,7517
33,7517
34,7517
33,7517
33,7517
39,7517
33,7517
33,7517
36,7517
36,7517
33,7517
34,7517
34,7517
38,7517
32,7517
32,7517
33,7517
33,7517
33,7517
35,7517
35,7517
34,7517
34,7517
33,7517
37,7517
37,7517
33,7517
33,7517
38,7517
31,7517
31,7517
33,7517
37,7517
37,7517
33,7517
33,7517
34,7517
33,7517
33,7517
37,7517
33,7517
33,7517
35,7517
38,7517
38,7517
36,7517
36,7517
32,7517
36,7517
36,7517
34,7517
38,7517
38,7517
33,7517
33,7517
33,7517
37,7517
37,7517
32,7517
32,7517
38,7517
33,7517
33,7517
36,7517
36,7517
39,7517
35,7517
35,7517
31,7517
40,7517
40,7517
33,7517
33,7517
34,7517
39,7517
39,7517
31,7517
31,7517
32,7517
38,7517
38,7517
32,7517
35,7517
35,7517
33,7517
34,7517
34,7517
37,7517
37,7517
33,7517
37,7517
37,7517
33,7517
33,7517
34,7517
39,7517
39,7517
32,7517
32,7517
32,7517
38,7517
38,7517
33,7517
35,7517
35,7517
38,7517
38,7517
32,7517
35,7517
35,7517
34,7517
34,7517
32,7517
40,7517
40,7517
33,7517
33,7517
34,7517
34,7517
34,7517
31,7517
31,7517
39,7517
35,7517
35,7517
34,7517
34,7517
38,7517
37,7517
37,7517
32,7517
32,7517
37,7517
34,7517
34,7517
34,7517
34,7517
34,7517
33,7517
38,7517
38,7517
32,7517
32,7517
37,7517
36,7517
36,7517
33,7517
33,7517
39,7517
36,7517
36,7517
33,7517
33,7517
38,7517
37,7517
37,7517
34,7517
34,7517
34,7517
37,7517
37,7517
33,7517
34,7517
34,7517
34,7517
34,7517
34,7517
37,7517
37,7517
33,7517
36,7517
36,7517
35,7517
33,7517
33,7517
35,7517
35,7517
34,7517
35,7517
35,7517
33,7517
35,7517
35,7517
34,7517
34,7517
36,7517
33,7517
33,7517
37,7517
32,7517
32,7517
33,7517
33,7517
34,7517
35,7517
35,7517
35,7517
35,7517
34,7517
39,7517
39,7517
34,7517
34,7517
35,7517
37,7517
37,7517
33,7517
33,7517
37,7517
33,7517
33,7517
35,7517
36,7517
36,7517
33,7517
33,7517
37,7517
38,7517
38,7517
32,7517
35,7517
35,7517
34,7517
34,7517
36,7517
36,7517
35,7517
33,7517
33,7517
36,7517
36,7517
33,7517
36,7517
36,7517
32,7517
32,7517
35,7517
34,7517
34,7517
35,7517
35,7517
34,7517
34,7517
34,7517
31,7517
31,7517
37,7517
33,7517
33,7517
36,7517
32,7517
32,7517
33,7517
36,7517
36,7517
32,7517
32,7517
35,7517
34,7517
34,7517
36,7517
36,7517
32,7517
