GPU Util%,GPU Memory
0,735
0,735
1,735
1,735
1,744
6,752
6,846
7,960
7,980
2,980
2,980
0,6950
0,6950
16,7046
16,7152
3,7264
3,7336
4,7468
4,7482
24,7522
24,7522
22,7522
22,7522
26,7522
31,7522
31,7522
33,7522
33,7522
34,7522
34,7522
34,7522
36,7522
36,7522
36,7522
38,7522
38,7522
36,7522
36,7522
36,7522
36,7522
37,7522
37,7522
38,7522
38,7522
38,7522
37,7522
37,7522
39,7522
39,7522
40,7522
40,7522
37,7522
37,7522
36,7522
36,7522
38,7522
38,7522
38,7522
38,7522
38,7522
39,7522
39,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
35,7522
35,7522
36,7522
36,7522
37,7522
38,7522
38,7522
39,7522
39,7522
37,7522
37,7522
37,7522
37,7522
38,7522
38,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
38,7522
38,7522
39,7522
39,7522
35,7522
35,7522
35,7522
35,7522
36,7522
36,7522
37,7522
38,7522
38,7522
36,7522
36,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
36,7522
36,7522
37,7522
39,7522
39,7522
38,7522
38,7522
38,7522
38,7522
37,7522
37,7522
36,7522
36,7522
36,7522
36,7522
38,7522
38,7522
38,7522
38,7522
39,7522
39,7522
38,7522
38,7522
38,7522
38,7522
38,7522
38,7522
38,7522
38,7522
38,7522
37,7522
37,7522
36,7522
38,7522
38,7522
36,7522
36,7522
38,7522
38,7522
37,7522
37,7522
38,7522
38,7522
37,7522
38,7522
38,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
38,7522
38,7522
36,7522
36,7522
36,7522
36,7522
36,7522
36,7522
37,7522
37,7522
38,7522
38,7522
36,7522
39,7522
39,7522
36,7522
36,7522
37,7522
37,7522
38,7522
38,7522
37,7522
37,7522
39,7522
39,7522
37,7522
37,7522
36,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
38,7522
38,7522
38,7522
38,7522
38,7522
37,7522
37,7522
38,7522
38,7522
38,7522
38,7522
38,7522
38,7522
37,7522
37,7522
38,7522
38,7522
38,7522
39,7522
39,7522
36,7522
36,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
39,7522
39,7522
37,7522
37,7522
37,7522
37,7522
36,7522
36,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
36,7522
36,7522
37,7522
37,7522
38,7522
38,7522
37,7522
37,7522
39,7522
39,7522
38,7522
37,7522
37,7522
38,7522
38,7522
38,7522
38,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
37,7522
38,7522
38,7522
