GPU Util%,GPU Memory
0,769
0,769
2,769
2,769
2,769
4,778
4,786
4,916
5,1008
5,3958
5,7060
19,7152
19,7152
19,7152
19,7152
17,7152
17,7152
17,7152
20,7152
20,7152
20,7152
21,7152
21,7152
21,7152
21,7152
20,7152
20,7152
20,7152
21,7152
21,7152
21,7152
25,7152
25,7152
25,7152
28,7152
28,7152
28,7152
28,7152
30,7152
30,7152
30,7152
34,7152
34,7152
34,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
30,7152
30,7152
30,7152
34,7152
34,7152
34,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
35,7152
35,7152
35,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
38,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
33,7152
33,7152
33,7152
33,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
39,7152
39,7152
39,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
35,7152
35,7152
35,7152
35,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
38,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
35,7152
35,7152
35,7152
35,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
35,7152
35,7152
35,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
38,7152
38,7152
38,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
37,7152
37,7152
37,7152
37,7152
36,7152
36,7152
36,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
38,7152
37,7152
37,7152
