GPU Util%,GPU Memory
0,768
0,768
0,768
0,768
1,768
1,777
4,785
4,921
4,1013
4,6983
19,7069
19,7151
19,7151
13,7151
13,7151
13,7151
13,7151
18,7151
18,7151
18,7151
19,7151
19,7151
19,7151
19,7151
19,7151
19,7151
19,7151
19,7151
19,7151
19,7151
25,7151
25,7151
25,7151
27,7151
27,7151
27,7151
29,7151
29,7151
29,7151
29,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
34,7151
34,7151
34,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
32,7151
32,7151
32,7151
33,7151
33,7151
33,7151
33,7151
32,7151
32,7151
32,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
33,7151
33,7151
33,7151
33,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
33,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
33,7151
33,7151
33,7151
33,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
31,7151
30,7151
30,7151
30,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
32,7151
29,7151
29,7151
29,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
32,7151
32,7151
32,7151
32,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
30,7151
30,7151
30,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
31,7151
