GPU Util%,GPU Memory,CPU Util%
0,0,0.0
0,0,17.5
0,0,9.9
0,0,6.1
2,143,7.1
4,209,7.2
4,259,6.6
0,259,6.6
0,11693,6.6
1,11709,6.7
4,11777,6.3
4,11833,6.3
2,11851,6.6
5,11921,6.5
17,11933,7.0
64,11933,7.4
55,11933,8.6
51,11933,8.0
49,11933,7.4
50,11933,9.2
51,11933,8.0
48,11933,7.4
49,11933,8.4
52,11933,8.3
50,11933,8.1
49,11933,7.3
54,11933,8.3
55,11933,8.6
61,11933,6.0
60,11933,8.3
58,11933,7.0
54,11933,7.5
52,11933,8.6
52,11933,7.4
49,11933,7.4
62,11933,7.1
60,11933,8.4
53,11933,8.0
49,11933,8.0
50,11933,7.7
49,11933,8.7
50,11933,8.0
48,11933,9.4
49,11933,7.1
51,11933,7.1
49,11933,8.5
53,11933,8.0
57,11933,8.7
59,11933,8.1
62,11933,8.1
58,11933,8.0
52,11933,8.0
50,11933,8.4
49,11933,7.4
48,11933,8.0
47,11933,7.8
48,11933,6.4
51,11933,7.1
54,11933,8.0
48,11933,8.0
48,11933,8.0
51,11933,8.4
52,11933,7.4
53,11933,8.4
57,11933,8.6
48,11933,9.3
50,11933,7.7
48,11933,9.3
48,11933,7.7
49,11933,8.3
49,11933,9.6
50,11933,7.7
56,11933,8.0
62,11933,7.7
58,11933,7.1
52,11933,9.0
50,11933,9.0
51,11933,8.4
54,11933,7.7
51,11933,8.0
54,11933,8.7
60,11933,7.7
60,11933,8.3
52,11933,6.4
51,11933,9.0
50,11933,7.8
48,11933,8.3
50,11933,8.0
49,11933,7.4
49,11933,9.0
49,11933,8.7
49,11933,7.1
52,11933,7.4
49,11933,8.7
50,11933,7.7
47,11933,8.6
46,11933,7.8
50,11933,9.0
49,11933,8.0
48,11933,8.7
47,11933,8.3
48,11933,8.4
48,11933,8.4
52,11933,8.4
49,11933,8.9
49,11933,8.0
50,11933,7.4
51,11933,8.0
50,11933,8.4
50,11933,7.7
46,11933,8.7
52,11933,7.7
49,11933,9.7
49,11933,8.0
48,11933,9.0
46,11933,6.7
48,11933,8.1
48,11933,8.7
48,11933,8.0
51,11933,7.4
50,11933,8.3
48,11933,8.4
49,11933,8.1
50,11933,8.0
47,11933,9.0
49,11933,7.7
53,11933,8.4
50,11933,8.0
45,11933,9.3
50,11933,8.4
50,11933,8.7
46,11933,8.0
48,11933,8.3
48,11933,8.0
50,11933,8.1
49,11933,8.0
49,11933,7.7
49,11933,8.0
47,11933,8.0
47,11933,8.7
48,11933,8.3
50,11933,8.7
46,11933,8.7
47,11933,7.7
46,11933,9.0
48,11933,8.4
48,11933,7.7
49,11933,8.7
48,11933,7.7
57,11933,8.0
49,11933,7.4
47,11933,7.7
48,11933,7.7
48,11933,8.3
48,11933,8.7
47,11933,8.3
48,11933,9.3
48,11933,8.7
49,11933,8.4
46,11933,7.4
47,11933,8.4
48,11933,9.3
50,11933,8.3
48,11933,8.1
49,11933,7.7
50,11933,8.3
46,11933,7.7
48,11933,8.1
46,11933,7.4
49,11933,8.0
49,11933,8.5
49,11933,8.0
48,11933,8.0
49,11933,7.0
46,11933,8.0
48,11933,8.7
49,11933,8.4
48,11933,8.7
48,11933,8.3
