GPU Util%,GPU Memory,CPU Util%
0,0,5.9
0,0,17.4
0,0,9.9
3,0,5.9
1,143,6.8
4,197,6.6
5,259,6.9
0,259,6.6
0,11693,6.9
2,11733,6.6
4,11797,6.6
4,11833,6.0
2,11849,4.1
1,11865,4.1
2,11879,2.8
1,11907,5.2
5,11933,6.9
49,11933,8.4
44,11933,9.0
42,11933,7.9
42,11933,7.7
41,11933,8.7
42,11933,8.7
41,11933,8.4
47,11933,8.0
52,11933,8.4
53,11933,8.4
53,11933,7.3
54,11933,8.4
48,11933,8.1
52,11933,8.3
40,11933,8.1
41,11933,7.7
44,11933,9.0
50,11933,8.0
48,11933,7.1
42,11933,8.4
48,11933,9.3
53,11933,7.4
47,11933,8.6
48,11933,8.3
44,11933,7.4
42,11933,8.4
43,11933,8.7
44,11933,8.1
45,11933,8.1
41,11933,9.0
42,11933,8.6
41,11933,7.7
41,11933,8.7
42,11933,7.4
45,11933,8.0
40,11933,8.4
42,11933,8.0
44,11933,8.0
43,11933,9.1
44,11933,9.3
48,11933,8.4
41,11933,8.7
42,11933,8.6
42,11933,8.1
43,11933,8.7
47,11933,8.7
45,11933,9.1
49,11933,8.1
52,11933,7.1
48,11933,8.7
47,11933,8.3
42,11933,7.7
41,11933,8.3
49,11933,8.6
50,11933,9.2
48,11933,7.4
51,11933,6.7
45,11933,8.0
44,11933,8.4
40,11933,8.4
43,11933,9.3
44,11933,9.3
41,11933,8.4
41,11933,8.7
42,11933,9.6
42,11933,8.4
46,11933,9.0
46,11933,8.4
47,11933,8.7
40,11933,8.0
41,11933,9.3
40,11933,7.7
44,11933,8.3
43,11933,8.5
41,11933,8.7
40,11933,8.1
45,11933,9.0
45,11933,7.7
44,11933,8.3
42,11933,7.7
42,11933,9.7
41,11933,6.7
40,11933,8.0
40,11933,7.3
42,11933,7.1
41,11933,8.4
43,11933,8.4
44,11933,7.3
41,11933,7.8
43,11933,9.0
42,11933,8.4
41,11933,7.3
42,11933,8.7
41,11933,8.0
41,11933,8.4
43,11933,8.3
41,11933,7.7
41,11933,8.7
43,11933,7.7
44,11933,8.0
40,11933,7.7
40,11933,8.4
47,11933,9.3
56,11933,6.8
47,11933,7.3
41,11933,8.5
42,11933,8.3
43,11933,10.2
40,11933,8.6
40,11933,7.4
41,11933,8.4
44,11933,8.3
43,11933,8.4
44,11933,7.7
41,11933,8.0
41,11933,8.3
43,11933,8.7
42,11933,8.4
42,11933,8.4
41,11933,7.7
46,11933,8.0
40,11933,7.7
43,11933,8.7
41,11933,7.7
40,11933,8.4
40,11933,7.4
41,11933,9.1
40,11933,8.6
42,11933,8.0
40,11933,8.1
41,11933,9.3
42,11933,9.2
39,11933,8.0
38,11933,8.0
44,11933,8.6
41,11933,8.7
41,11933,8.7
45,11933,8.6
42,11933,8.0
47,11933,8.0
43,11933,8.7
39,11933,8.3
41,11933,8.0
41,11933,8.7
39,11933,8.0
40,11933,7.7
44,11933,8.0
39,11933,7.1
41,11933,9.3
40,11933,7.7
41,11933,8.3
38,11933,8.1
46,11933,8.6
54,11933,9.6
42,11933,9.0
46,11933,7.0
43,11933,7.3
41,11933,8.6
40,11933,8.0
38,11933,8.7
43,11933,8.7
43,11933,8.4
47,11933,8.7
41,11933,8.7
41,11933,8.1
41,11933,8.1
42,11933,7.8
44,11933,8.4
39,11933,7.3
42,11933,8.6
41,11933,8.7
45,11933,8.1
42,11933,8.7
41,11933,7.7
42,11933,8.7
41,11933,8.1
40,11933,8.4
40,11933,8.0
43,11933,7.1
41,11933,8.7
41,11933,9.6
41,11933,9.0
43,11933,8.4
41,11933,8.7
45,11933,8.4
39,11933,8.0
40,11933,8.0
41,11933,8.9
41,11933,8.3
41,11933,8.1
43,11933,8.0
40,11933,8.0
42,11933,7.8
43,11933,8.7
43,11933,7.7
40,11933,8.9
41,11933,8.3
40,11933,9.0
39,11933,8.0
43,11933,7.7
41,11933,9.3
45,11933,7.4
48,11933,8.6
50,11933,7.4
50,11933,8.1
