GPU Util%,GPU Memory,CPU Util%
0,0,0.0
0,0,19.9
0,0,10.0
0,0,5.7
3,167,7.1
4,235,6.6
2,259,7.3
0,259,6.9
0,259,6.6
0,259,6.7
0,259,6.6
0,259,6.6
0,259,6.3
0,259,6.3
0,11693,7.0
0,11693,6.8
0,11693,6.3
0,11709,6.7
4,11761,6.6
4,11833,6.3
2,11843,6.3
3,11887,7.2
15,11933,6.8
55,11933,8.0
49,11933,9.9
35,11933,7.6
26,11933,7.6
31,11933,7.0
38,11933,8.6
33,11933,8.3
37,11933,7.6
37,11933,7.0
38,11933,8.0
31,11933,7.3
35,11933,8.0
35,11933,8.4
36,11933,7.7
35,11933,7.0
32,11933,8.7
30,11933,7.7
29,11933,7.6
32,11933,7.6
31,11933,7.3
29,11933,7.6
27,11933,8.7
28,11933,7.0
38,11933,8.6
42,11933,9.2
25,11933,7.3
27,11933,7.6
35,11933,7.7
36,11933,8.3
31,11933,7.9
22,11933,7.9
33,11933,8.0
40,11933,6.7
30,11933,7.4
38,11933,8.3
41,11933,7.4
43,11933,7.7
45,11933,7.7
40,11933,8.3
34,11933,8.3
39,11933,8.0
32,11933,7.0
31,11933,8.4
36,11933,6.7
36,11933,6.4
34,11933,7.7
31,11933,6.8
40,11933,8.0
36,11933,8.6
37,11933,7.4
41,11933,6.7
34,11933,6.7
39,11933,8.0
43,11933,7.0
43,11933,6.4
43,11933,7.1
33,11933,7.6
32,11933,7.7
36,11933,7.3
34,11933,8.9
36,11933,6.8
32,11933,7.6
39,11933,6.7
43,11933,6.7
43,11933,7.0
34,11933,7.3
42,11933,8.0
35,11933,7.0
24,11933,8.0
22,11933,6.6
28,11933,7.0
26,11933,7.0
23,11933,7.6
30,11933,7.3
31,11933,8.0
37,11933,8.3
34,11933,8.0
35,11933,7.7
36,11933,7.0
34,11933,7.0
30,11933,7.6
41,11933,7.4
35,11933,6.9
33,11933,8.7
35,11933,7.0
35,11933,7.7
28,11933,7.6
35,11933,7.3
34,11933,7.6
32,11933,7.4
30,11933,8.3
30,11933,7.7
30,11933,7.0
37,11933,6.7
27,11933,7.3
30,11933,7.0
40,11933,8.3
29,11933,7.7
37,11933,7.7
27,11933,7.9
33,11933,8.0
27,11933,7.7
33,11933,9.3
44,11933,7.4
38,11933,8.7
25,11933,7.6
