GPU Util%,GPU Memory,CPU Util%
0,0,0.0
0,0,15.0
0,0,10.0
0,0,5.7
3,147,6.8
3,217,6.6
3,259,7.9
0,259,6.6
0,259,6.6
0,259,6.7
0,259,6.3
0,259,6.3
0,11693,6.8
0,11693,6.6
0,11693,6.6
0,11721,7.2
3,11789,6.6
4,11833,6.6
2,11865,6.7
16,11931,6.5
75,11933,7.6
83,11933,6.9
77,11933,7.9
74,11933,7.9
76,11933,6.6
77,11933,7.6
72,11933,7.3
69,11933,7.6
73,11933,6.9
77,11933,7.3
71,11933,7.3
68,11933,5.6
64,11933,7.3
67,11933,7.3
77,11933,7.0
77,11933,6.9
75,11933,6.7
75,11933,7.6
64,11933,7.0
63,11933,6.6
68,11933,7.7
71,11933,7.3
77,11933,6.0
77,11933,6.9
70,11933,7.0
77,11933,7.0
52,11933,7.6
59,11933,6.0
63,11933,7.3
73,11933,7.0
70,11933,7.3
75,11933,7.3
71,11933,7.0
75,11933,6.3
64,11933,8.9
62,11933,7.3
70,11933,7.4
67,11933,7.3
65,11933,7.0
63,11933,7.0
72,11933,7.6
74,11933,6.7
78,11933,7.3
77,11933,7.0
77,11933,7.6
74,11933,7.3
80,11933,6.6
69,11933,7.3
73,11933,6.6
71,11933,7.0
61,11933,7.3
60,11933,6.9
61,11933,7.6
69,11933,6.7
72,11933,6.4
73,11933,6.3
70,11933,6.6
69,11933,6.6
68,11933,6.7
75,11933,6.9
65,11933,7.0
78,11933,6.9
75,11933,7.0
72,11933,6.7
76,11933,7.0
69,11933,6.6
66,11933,8.0
73,11933,6.6
79,11933,6.6
77,11933,7.0
78,11933,7.3
70,11933,6.3
66,11933,7.0
76,11933,7.2
75,11933,6.6
72,11933,7.0
79,11933,6.0
73,11933,6.6
74,11933,7.6
66,11933,6.7
58,11933,6.6
64,11933,6.3
72,11933,6.6
77,11933,8.0
79,11933,6.9
65,11933,8.9
65,11933,7.3
67,11933,7.3
65,11933,6.7
78,11933,6.6
66,11933,6.8
63,11933,7.5
55,11933,7.6
54,11933,6.7
51,11933,8.8
58,11933,6.6
73,11933,7.0
78,11933,7.3
68,11933,8.2
59,11933,7.6
47,11933,7.2
59,11933,7.3
66,11933,6.6
65,11933,7.3
73,11933,7.3
75,11933,6.9
73,11933,7.6
73,11933,6.0
52,11933,7.7
54,11933,6.9
51,11933,7.6
60,11933,7.7
55,11933,6.9
53,11933,8.0
66,11933,7.2
66,11933,7.6
57,11933,7.0
54,11933,7.3
65,11933,6.9
58,11933,7.2
48,11933,7.3
63,11933,7.3
55,11933,7.6
59,11933,7.3
44,11933,7.3
48,11933,7.6
48,11933,7.3
49,11933,7.6
53,11933,7.6
64,11933,6.3
66,11933,6.0
76,11933,7.6
62,11933,6.3
51,11933,7.0
56,11933,6.9
72,11933,7.6
77,11933,6.0
68,11933,6.6
62,11933,6.9
55,11933,6.3
59,11933,8.2
54,11933,7.3
61,11933,6.1
61,11933,7.3
64,11933,6.6
73,11933,7.3
67,11933,7.3
47,11933,7.0
56,11933,6.6
67,11933,6.3
53,11933,8.2
59,11933,7.4
66,11933,7.0
68,11933,7.0
66,11933,7.0
71,11933,7.0
78,11933,7.3
72,11933,7.2
64,11933,6.4
66,11933,6.9
63,11933,6.3
64,11933,7.3
47,11933,7.3
58,11933,6.4
58,11933,7.7
67,11933,6.4
74,11933,6.7
67,11933,6.3
78,11933,7.6
79,11933,6.0
58,11933,7.9
49,11933,7.3
54,11933,7.3
57,11933,7.3
53,11933,7.3
53,11933,7.7
66,11933,7.3
66,11933,7.0
71,11933,8.0
70,11933,6.9
67,11933,6.6
57,11933,7.3
51,11933,6.6
61,11933,7.3
63,11933,6.3
60,11933,8.9
65,11933,7.3
64,11933,7.9
63,11933,6.7
50,11933,7.6
52,11933,7.6
55,11933,8.6
52,11933,6.6
64,11933,7.0
76,11933,6.6
78,11933,7.7
78,11933,6.6
57,11933,6.3
56,11933,7.6
62,11933,7.0
66,11933,5.0
79,11933,6.0
80,11933,5.7
81,11933,6.3
80,11933,5.9
80,11933,5.9
78,11933,6.6
79,11933,6.3
81,11933,5.7
79,11933,6.7
79,11933,5.6
80,11933,7.0
78,11933,5.9
80,11933,6.3
79,11933,6.2
79,11933,5.9
79,11933,7.6
68,11933,7.3
76,11933,6.7
64,11933,7.3
59,11933,7.3
53,11933,7.3
53,11933,7.6
56,11933,7.7
57,11933,6.7
48,11933,8.2
52,11933,7.3
50,11933,6.6
60,11933,7.0
65,11933,6.7
58,11933,6.3
70,11933,6.9
75,11933,7.0
58,11933,7.3
59,11933,7.0
53,11933,7.0
54,11933,6.7
48,11933,7.7
54,11933,7.3
50,11933,7.0
52,11933,8.3
62,11933,6.3
74,11933,6.3
70,11933,8.6
58,11933,7.0
