GPU Util%,GPU Memory,CPU Util%
0,0,0.0
0,0,15.8
0,0,10.2
3,0,5.6
3,161,7.5
5,231,6.6
3,259,7.3
0,259,6.6
0,259,6.8
0,259,6.6
0,259,6.2
0,259,6.9
0,259,6.9
0,259,6.6
0,259,6.8
0,259,6.9
0,259,6.6
0,259,6.3
0,259,7.2
0,259,6.2
0,11693,7.2
1,11693,6.6
0,11693,6.8
0,11693,6.9
0,11697,6.8
1,11737,6.5
3,11817,7.4
3,11833,6.2
4,11883,6.9
19,11933,6.6
74,11933,6.8
67,11933,6.9
69,11933,6.3
65,11933,7.3
52,11933,7.2
63,11933,7.2
49,11933,7.2
43,11933,6.9
58,11933,7.5
52,11933,7.2
59,11933,7.2
58,11933,6.3
45,11933,6.6
53,11933,6.0
54,11933,7.2
57,11933,7.2
48,11933,6.9
58,11933,6.9
50,11933,7.2
52,11933,6.9
61,11933,7.2
50,11933,7.2
50,11933,6.9
56,11933,6.9
51,11933,7.8
47,11933,6.6
57,11933,7.0
49,11933,7.8
46,11933,6.6
48,11933,7.2
52,11933,6.9
50,11933,7.3
45,11933,6.9
52,11933,6.6
47,11933,6.6
55,11933,7.5
56,11933,6.6
51,11933,6.6
48,11933,7.6
49,11933,6.6
58,11933,7.5
54,11933,7.3
51,11933,7.2
56,11933,6.9
43,11933,6.6
53,11933,6.9
52,11933,7.2
49,11933,6.9
49,11933,7.2
57,11933,6.9
48,11933,6.9
59,11933,6.3
53,11933,7.2
46,11933,6.2
53,11933,7.6
52,11933,7.3
50,11933,6.6
53,11933,6.6
48,11933,7.6
56,11933,6.3
57,11933,7.2
54,11933,6.9
50,11933,7.2
48,11933,7.3
53,11933,7.5
46,11933,7.6
50,11933,7.3
47,11933,7.2
51,11933,6.3
51,11933,6.9
48,11933,7.5
53,11933,7.6
54,11933,7.2
57,11933,7.6
52,11933,8.2
49,11933,8.2
55,11933,6.9
45,11933,6.9
51,11933,7.9
48,11933,6.8
51,11933,6.9
70,11933,7.2
63,11933,6.3
50,11933,8.2
53,11933,6.6
54,11933,7.5
57,11933,6.2
50,11933,7.8
53,11933,7.3
56,11933,6.9
47,11933,6.9
51,11933,7.2
57,11933,6.8
54,11933,7.2
57,11933,7.3
55,11933,6.6
66,11933,7.2
55,11933,6.9
50,11933,6.6
54,11933,6.9
53,11933,7.5
52,11933,6.9
51,11933,7.9
68,11933,7.8
47,11933,6.9
53,11933,6.9
58,11933,7.9
50,11933,6.9
52,11933,6.6
49,11933,7.1
44,11933,6.9
50,11933,7.3
60,11933,7.5
59,11933,6.6
48,11933,7.2
53,11933,6.5
45,11933,6.9
54,11933,7.8
48,11933,6.9
61,11933,7.5
63,11933,8.3
59,11933,6.9
54,11933,6.3
47,11933,7.3
55,11933,6.9
48,11933,6.3
51,11933,6.8
59,11933,7.2
54,11933,6.9
60,11933,6.6
48,11933,7.2
46,11933,6.9
52,11933,7.2
48,11933,7.2
48,11933,6.9
62,11933,6.9
64,11933,6.8
48,11933,6.9
51,11933,6.9
64,11933,6.9
45,11933,7.5
58,11933,6.3
49,11933,6.9
57,11933,7.2
49,11933,6.9
53,11933,6.6
58,11933,7.6
63,11933,6.8
56,11933,7.8
46,11933,6.6
51,11933,8.2
54,11933,7.3
79,11933,6.6
79,11933,5.6
79,11933,6.6
80,11933,6.6
79,11933,7.6
63,11933,6.3
56,11933,6.6
61,11933,7.2
52,11933,6.9
51,11933,6.6
53,11933,6.9
55,11933,6.9
51,11933,6.9
44,11933,6.9
60,11933,7.2
58,11933,6.9
72,11933,6.9
79,11933,7.2
58,11933,6.3
64,11933,6.2
59,11933,6.6
65,11933,7.0
53,11933,6.5
51,11933,7.2
54,11933,7.2
48,11933,7.6
57,11933,6.6
51,11933,7.2
62,11933,6.6
50,11933,7.5
51,11933,7.2
51,11933,7.2
53,11933,6.6
48,11933,7.3
53,11933,6.9
47,11933,7.3
51,11933,6.8
50,11933,6.9
63,11933,7.3
53,11933,7.3
50,11933,6.6
47,11933,7.1
51,11933,6.6
57,11933,6.8
57,11933,6.9
49,11933,7.5
46,11933,6.6
47,11933,6.3
57,11933,7.2
44,11933,7.5
59,11933,6.8
53,11933,6.9
47,11933,7.5
53,11933,7.3
50,11933,6.9
54,11933,7.2
46,11933,6.6
55,11933,7.8
50,11933,6.9
58,11933,6.8
45,11933,6.7
69,11933,7.2
60,11933,7.2
62,11933,6.9
54,11933,6.6
52,11933,6.6
54,11933,7.3
51,11933,6.9
46,11933,7.6
54,11933,7.3
54,11933,7.5
54,11933,7.3
56,11933,6.6
47,11933,7.2
54,11933,7.3
54,11933,7.3
52,11933,7.2
47,11933,7.6
50,11933,7.5
52,11933,7.2
50,11933,7.3
59,11933,6.2
46,11933,7.6
53,11933,7.9
46,11933,7.5
55,11933,6.2
46,11933,7.2
61,11933,7.2
47,11933,6.9
46,11933,6.9
55,11933,6.3
51,11933,7.2
54,11933,7.5
56,11933,7.3
46,11933,7.8
53,11933,7.9
56,11933,6.8
46,11933,7.2
