GPU Util%,GPU Memory,CPU Util%
0,0,0.0
3,0,19.0
0,0,9.7
0,0,6.0
3,159,7.1
5,231,6.6
2,259,6.6
0,11693,6.6
1,11717,6.3
4,11769,7.0
30,11769,11.3
35,11769,8.0
29,11769,8.7
28,11769,8.7
27,11769,9.9
26,11769,8.0
26,11769,9.7
28,11769,8.4
28,11769,8.7
26,11769,8.1
28,11769,8.4
28,11769,8.7
29,11769,8.7
25,11769,7.7
25,11769,7.7
26,11769,8.0
27,11769,7.7
28,11769,8.7
30,11769,8.0
27,11769,8.7
25,11769,7.1
25,11769,8.4
26,11769,9.8
26,11769,7.4
25,11769,8.3
25,11769,8.0
25,11769,9.3
26,11769,7.7
25,11769,9.0
25,11769,8.4
28,11769,8.3
29,11769,8.1
27,11769,8.0
29,11769,8.0
28,11769,8.2
34,11769,9.3
25,11769,8.0
25,11769,9.0
25,11769,7.7
25,11769,9.0
28,11769,8.4
31,11769,8.4
33,11769,7.8
31,11769,7.7
25,11769,8.3
25,11769,8.1
25,11769,8.1
25,11769,7.8
26,11769,7.8
26,11769,8.7
25,11769,9.0
25,11769,8.0
24,11769,7.3
24,11769,7.7
25,11769,9.0
24,11769,8.4
27,11769,8.7
27,11769,6.8
27,11769,8.0
26,11769,7.1
27,11769,9.0
26,11769,9.0
28,11769,7.1
30,11769,9.0
28,11769,8.0
27,11769,7.7
27,11769,7.7
26,11769,8.3
25,11769,8.4
26,11769,7.7
23,11769,7.0
2,11769,6.6
1,0,7.1
