GPU Util%,GPU Memory,CPU Util%
3,0,0.0
0,0,19.1
0,0,10.3
0,0,5.6
3,159,7.1
5,229,6.9
3,259,7.0
0,11693,7.0
2,11719,6.3
3,11769,6.7
25,11769,8.1
28,11769,8.0
32,11769,7.5
31,11769,9.1
32,11769,8.7
34,11769,8.4
37,11769,8.2
34,11769,7.8
27,11769,7.7
26,11769,8.7
25,11769,9.7
25,11769,8.7
26,11769,8.1
24,11769,8.4
27,11769,9.0
26,11769,8.9
25,11769,7.4
25,11769,9.0
25,11769,8.1
24,11769,7.4
25,11769,8.7
28,11769,8.0
30,11769,7.7
25,11769,9.0
27,11769,7.1
26,11769,7.0
24,11769,9.0
25,11769,8.7
27,11769,8.0
27,11769,9.0
28,11769,8.4
25,11769,7.7
25,11769,8.7
25,11769,7.7
25,11769,8.0
24,11769,8.1
23,11769,8.9
25,11769,7.7
25,11769,7.1
24,11769,7.7
25,11769,8.1
28,11769,8.4
27,11769,8.2
27,11769,8.4
26,11769,8.7
28,11769,7.4
27,11769,8.4
24,11769,8.3
24,11769,9.0
24,11769,9.0
27,11769,8.4
28,11769,8.7
25,11769,7.7
25,11769,8.7
27,11769,8.1
26,11769,7.1
26,11769,9.6
24,11769,7.7
24,11769,7.4
24,11769,8.0
24,11769,8.4
25,11769,8.6
25,11769,7.4
24,11769,7.7
25,11769,7.7
24,11769,8.7
24,11769,8.4
24,11769,8.4
24,11769,8.7
23,11769,7.4
24,11769,8.7
24,11769,9.0
25,11769,8.7
25,11769,9.6
24,11769,9.3
23,11769,7.4
24,11769,9.7
24,11769,7.4
24,11769,8.3
25,11769,9.0
26,11769,8.4
27,11769,8.4
30,11769,8.7
27,11769,8.1
24,11769,8.1
24,11769,8.4
25,11769,8.7
27,11769,9.0
26,11769,8.7
26,11769,9.0
24,11769,8.4
24,11769,9.6
23,11769,7.7
25,11769,8.3
24,11769,7.4
24,11769,7.7
26,11769,8.6
23,11769,9.0
24,11769,10.0
25,11769,8.4
25,11769,8.7
24,11769,7.7
24,11769,8.1
24,11769,7.7
22,11769,8.7
23,11769,8.0
24,11769,9.3
24,11769,8.3
22,11769,7.7
24,11769,9.0
25,11769,8.7
26,11769,9.1
27,11769,8.4
25,11769,8.3
23,11769,8.7
25,11769,7.4
25,11769,9.0
25,11769,8.0
27,11769,8.3
24,11769,8.4
24,11769,8.0
24,11769,9.7
23,11769,8.0
25,11769,8.4
23,11769,8.3
23,11769,8.7
22,11769,8.9
24,11769,8.3
23,11769,9.0
28,11769,8.3
25,11769,8.7
28,11769,10.0
29,11769,8.0
23,11769,8.4
23,11769,7.4
24,11769,8.7
23,11769,7.8
25,11769,7.4
25,11769,8.3
25,11769,8.7
24,11769,8.6
22,11769,7.4
23,11769,8.7
25,11769,8.1
18,11769,6.3
0,11707,6.9
0,0,5.8
