Time,GPU Util%,GPU Memory
0,29,7860
1,27,7860
2,31,7860
3,31,7860
4,21,7860
5,30,7860
6,29,7860
7,31,7860
8,31,7860
9,32,7860
10,26,7860
11,32,7860
12,31,7860
13,34,7860
14,31,7860
15,25,7860
16,30,7860
17,31,7860
18,30,7860
19,33,7860
20,31,7860
21,21,7860
22,30,7860
23,33,7860
24,30,7860
25,33,7860
26,32,7860
27,31,7860
28,35,7860
29,34,7860
30,31,7860
31,31,7860
32,21,7860
33,30,7860
34,32,7860
35,32,7860
36,31,7860
37,33,7860
38,19,7860
39,31,7860
40,30,7860
41,32,7860
42,29,7860
43,31,7860
44,32,7860
45,33,7860
46,30,7860
47,32,7860
48,31,7860
49,19,7860
50,0,7860
51,0,7860
52,0,7860
53,0,7860
54,0,7860
55,0,7860
56,0,7860
57,0,7860
58,0,7860
59,0,7860
60,0,7860
61,0,7860
62,2,7860
63,0,7860
64,0,7860
65,0,7860
66,0,7860
67,0,7860
68,0,7860
69,1,7796
70,2,7678
71,84,315
72,0,315
73,0,315
74,0,315
75,0,315
76,0,315
77,0,315
78,0,315
79,0,315
80,0,315
81,0,315
82,0,315
83,0,315
84,0,315
85,0,315
86,0,315
87,0,315
88,0,315
89,0,315
90,0,315
91,0,315
92,0,315
93,0,315
94,0,315
95,0,315
96,0,315
97,0,315
98,0,315
99,0,315
100,0,315
101,0,315
102,1,315
103,0,315
104,1,315
105,0,315
106,0,315
107,0,315
108,0,315
109,0,315
110,0,315
111,0,315
112,2,315
113,0,315
114,0,315
115,0,315
116,0,315
117,0,315
118,0,315
119,0,315
120,1,315
121,2,317
122,0,317
123,1,448
124,1,498
125,2,544
126,0,598
127,1,644
128,0,662
129,1,730
130,1,778
131,2,830
132,1,894
133,2,966
134,0,1038
135,23,1088
136,47,1088
137,40,1102
138,49,1102
139,50,1102
140,39,1102
141,41,1102
142,50,1102
143,49,1102
144,49,1102
145,49,1090
146,49,1102
147,40,1102
148,50,1102
149,50,1102
150,51,1102
151,37,1102
152,45,1102
153,49,1102
154,47,1103
155,49,1103
156,50,1103
157,49,1103
158,49,1103
159,41,1103
160,48,1103
161,47,1103
162,45,1084
163,46,1084
164,47,1084
165,46,1084
166,41,1084
167,38,1084
168,33,1084
169,43,1103
170,44,1103
171,48,1113
172,46,1103
173,48,1103
174,46,1108
175,49,1110
176,47,1110
177,49,1096
178,35,1119
179,42,1134
180,44,1134
181,49,1134
182,44,1134
183,47,1132
184,46,1109
185,45,1123
186,34,1123
187,33,1123
188,40,1123
189,47,1123
190,43,1123
191,51,1156
192,44,1169
193,45,1180
194,44,1217
195,37,1264
196,39,1284
197,37,1274
198,32,1285
199,37,1385
200,35,1370
201,27,1379
202,25,1345
203,21,1309
204,28,1378
205,32,1323
206,31,1314
207,33,1313
208,41,1297
209,35,1294
210,33,1250
211,29,1267
212,33,1254
213,34,1254
214,35,1256
215,34,1255
216,32,1251
217,35,1248
218,37,1246
219,25,1231
220,24,1231
221,23,1231
222,28,1231
223,37,1231
224,29,1230
225,33,1230
226,40,1225
227,33,1227
228,31,1225
229,42,1225
230,35,1225
231,40,1225
232,41,1225
233,40,1225
234,41,1224
235,45,1224
236,50,1224
237,45,1224
238,47,1224
239,44,1224
240,46,1224
241,37,1224
242,41,1224
243,36,1224
244,35,1224
245,38,1224
246,45,1224
247,41,1224
248,44,1224
249,40,1224
250,46,1224
251,41,1224
252,43,1224
253,40,1224
254,41,1224
255,42,1224
256,31,1224
257,45,1224
258,48,1224
259,49,1224
260,49,1224
261,49,1224
262,48,1224
263,48,1210
264,47,1225
265,49,1225
266,49,1225
267,49,1225
268,49,1225
269,45,1224
270,47,1224
271,48,1224
272,47,1224
273,48,1224
274,48,1224
275,49,1224
276,49,1224
277,48,1224
278,41,1224
279,44,1224
280,46,1224
281,47,1224
282,34,1224
283,37,1224
284,34,1224
285,36,1224
286,25,1224
287,31,1224
288,50,1224
289,49,1224
290,49,1224
291,49,1210
292,49,1224
293,49,1224
294,49,1224
295,49,1224
296,49,1224
297,49,1224
298,49,1210
299,48,1224
300,49,1224
301,49,1224
302,49,1224
303,47,1210
304,42,1224
305,49,1224
306,48,1224
307,48,1224
308,35,1224
309,41,1224
310,45,1224
311,41,1224
312,34,1224
313,38,1224
314,36,1224
315,38,1231
316,41,1231
317,44,1231
318,42,1231
319,47,1214
320,49,1228
321,47,1228
322,42,1228
323,48,1228
324,47,1228
325,35,1228
326,41,1228
327,48,1228
328,42,1228
329,41,1216
330,46,1228
331,49,1228
332,45,1228
333,48,1228
334,48,1228
335,48,1228
336,44,1228
337,44,1228
338,49,1228
339,44,1228
340,45,1228
341,45,1228
342,48,1228
343,36,1228
344,40,1228
345,48,1228
346,41,1228
347,41,1228
348,41,1228
349,41,1228
350,46,1229
351,49,1229
352,46,1229
353,36,1229
354,48,1229
355,42,1228
356,34,1228
357,43,1228
358,47,1228
359,42,1228
360,50,1228
361,49,1228
362,49,1228
363,48,1228
364,29,1228
365,50,1228
366,49,1228
367,49,1228
368,49,1228
369,49,1228
370,49,1228
371,50,1228
372,47,1228
373,49,1228
374,48,1228
375,48,1214
376,49,1228
377,48,1228
378,47,1228
379,48,1228
380,47,1228
381,43,1228
382,48,1228
383,43,1228
384,48,1228
385,36,1228
386,43,1228
387,48,1228
388,43,1228
