Operation,Frequency
Const,0.17529344015175893
Pack,0.0006266831523856303
Sub,0.03773648820311309
Conv2D,0.011119391609220711
Switch,0.002760793346996155
RealDiv,0.00033874764993817855
Sum,0.00142274012974035
SparseSoftmaxCrossEntropyWithLogits,0.00020324858996290714
AddN,0.0199183618163649
ZerosLike,0.04737385884385427
Maximum,0.00010162429498145357
Reshape,0.07089141444081232
Tile,0.000711370064870175
Greater,0.00028793550244745177
SplitV,0.0004064971799258143
VariableV2,0.08011381921037923
Range,0.0006097457698887214
BroadcastGradientArgs,0.00047424670991344996
Less,3.387476499381785e-05
RandomStandardNormal,8.468691248454463e-06
Cast,0.0004064971799258143
RandomUniformInt,0.00020324858996290714
Relu,0.011144797682966074
Fill,0.013422875628800325
ExpandDims,0.00020324858996290714
Shape,0.00011009298622990803
Conv2DBackpropInput,0.011127860300469165
AssignSub,0.018868244101556544
ApplyAdam,0.015209769482224217
GreaterEqual,0.00011856167747836249
AvgPool,0.0005081214749072679
BiasAdd,0.004285157771717959
Select,0.00020324858996290714
Assert,8.468691248454464e-05
Add,0.00020324858996290714
Neg,0.00020324858996290714
ShapeN,0.011060110770481529
ApplyGradientDescent,0.015209769482224217
LogicalAnd,0.00020324858996290714
Mul,0.03754170830439864
Exp,8.468691248454463e-06
Mean,0.0005081214749072679
AddV2,0.0011940854660320794
MaxPool,0.000694432682373266
MatMul,0.0010331803323114445
BiasAddGrad,0.004285157771717959
Slice,0.007181450178689385
Conv2DBackpropFilter,0.011060110770481529
StridedSlice,0.00011009298622990803
Placeholder,5.0812147490726786e-05
Tanh,8.468691248454463e-06
Identity,0.08223099202249284
RandomUniform,0.00011856167747836249
ConcatOffset,0.0028962924069714266
FusedBatchNormGradV3,0.009434122050778272
ConcatV2,0.003302789586897241
L2Loss,0.015667078809640758
Assign,0.16022763842075846
TruncatedNormal,0.00020324858996290714
FusedBatchNormV3,0.00945105943327518
Max,8.468691248454463e-06
Transpose,0.00020324858996290714
MaxPoolGrad,0.000694432682373266
FloorDiv,0.00010162429498145357
LeakyRelu,8.468691248454464e-05
Equal,0.00020324858996290714
IsVariableInitialized,0.08011381921037923
AvgPoolGrad,0.0005081214749072679
Pad,6.77495299876357e-05
DivNoNan,0.0008129943598516286
Merge,0.0004911840924103589
NoOp,0.0019139242221507089
ReluGrad,0.011093985535475347
Sigmoid,1.6937382496908926e-05
LessEqual,0.0003726224149319964
FloorMod,0.0028962924069714266
