GPU,Model,BatchSize,Optimizer,Epoch,Dataset,Resource,avg Idle time,avg Active time,avg Peak consumption,Execution Time
GTX1080,vgg11,8,sgd,10,cifar10,GPU Util%,0.9983632882465567,0.001636711753443271,0.997930949292817,5600.595781
GTX1080,vgg11,8,sgd,10,cifar10,GPU Mem Util%,0.9982397628312025,0.0017602371687974801,0.031746031746031744,5600.595781
GTX1080,vgg11,8,sgd,10,cifar10,GPU Memory,0.9986412204311037,0.0013587795688963004,0.9986412204311037,5600.595781
GTX1080,vgg11,8,sgd,10,cifar10,CPU Util%,0.5214934222716324,0.47850657772836763,0.0,5600.595781
GTX1080,vgg11,8,sgd,20,cifar10,GPU Util%,0.9991716775064425,0.0008283224935574917,0.9814087618112652,11283.75147
GTX1080,vgg11,8,sgd,20,cifar10,GPU Mem Util%,0.9991103202846975,0.0008896797153024911,0.011473800466314885,11283.75147
GTX1080,vgg11,8,sgd,20,cifar10,GPU Memory,0.999325070560805,0.0006749294391949932,0.999325070560805,11283.75147
GTX1080,vgg11,8,sgd,20,cifar10,CPU Util%,0.6433611486071911,0.35663885139280893,0.0,11283.75147
GTX1080,vgg11,8,adam,10,cifar10,GPU Util%,0.995942121843131,0.0040578781568690265,0.995888728709488,6478.449952999999
GTX1080,vgg11,8,adam,10,cifar10,GPU Mem Util%,0.995781942442202,0.004218057557798067,0.0,6478.449952999999
GTX1080,vgg11,8,adam,10,cifar10,GPU Memory,0.9987185647925677,0.0012814352074323242,0.9987185647925677,6478.449952999999
GTX1080,vgg11,8,adam,10,cifar10,CPU Util%,0.6845533664370762,0.3154466335629238,0.0,6478.449952999999
GTX1080,vgg11,8,adam,20,cifar10,GPU Util%,0.9980482848969334,0.001951715103066599,0.979065850332861,12953.475433
GTX1080,vgg11,8,adam,20,cifar10,GPU Mem Util%,0.9979680774269444,0.002031922573055637,0.0,12953.475433
GTX1080,vgg11,8,adam,20,cifar10,GPU Memory,0.9993583402400877,0.0006416597599123065,0.9993583402400877,12953.475433
GTX1080,vgg11,8,adam,20,cifar10,CPU Util%,0.48311632756730744,0.5168836724326926,0.0,12953.475433
GTX1080,vgg11,16,sgd,10,cifar10,GPU Util%,0.9974341917704077,0.0025658082295923214,0.9973391618359784,3643.839969
GTX1080,vgg11,16,sgd,10,cifar10,GPU Mem Util%,0.9971491019671196,0.0028508980328803574,0.0,3643.839969
GTX1080,vgg11,16,sgd,10,cifar10,GPU Memory,0.9979093414425544,0.0020906585574455953,0.9979093414425544,3643.839969
GTX1080,vgg11,16,sgd,10,cifar10,CPU Util%,0.531502423263328,0.46849757673667203,0.0,3643.839969
